episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-22872.016578743038,-3812.002763123838,-3812.002763123838,-3812.002763123838,-3812.002763123838,-3812.002763123838,-3812.002763123838
20,-39316.47487432426,-6552.745812387376,-6552.745812387376,-6552.745812387376,-6552.745812387376,-6552.745812387376,-6552.745812387376
30,-30807.90340210505,-5134.650567017506,-5134.650567017506,-5134.650567017506,-5134.650567017506,-5134.650567017506,-5134.650567017506
40,-36348.68137671219,-6058.113562785364,-6058.113562785364,-6058.113562785364,-6058.113562785364,-6058.113562785364,-6058.113562785364
50,-36488.82668675347,-6081.471114458912,-6081.471114458912,-6081.471114458912,-6081.471114458912,-6081.471114458912,-6081.471114458912
60,-36484.40553044065,-6080.734255073448,-6080.734255073448,-6080.734255073448,-6080.734255073448,-6080.734255073448,-6080.734255073448
70,-39160.69182348804,-6526.781970581345,-6526.781970581345,-6526.781970581345,-6526.781970581345,-6526.781970581345,-6526.781970581345
80,-39428.64776095908,-6571.44129349318,-6571.44129349318,-6571.44129349318,-6571.44129349318,-6571.44129349318,-6571.44129349318
90,-39685.51343858672,-6614.252239764452,-6614.252239764452,-6614.252239764452,-6614.252239764452,-6614.252239764452,-6614.252239764452
100,-39260.59722682247,-6543.4328711370745,-6543.4328711370745,-6543.4328711370745,-6543.4328711370745,-6543.4328711370745,-6543.4328711370745
110,-39416.073115421554,-6569.345519236922,-6569.345519236922,-6569.345519236922,-6569.345519236922,-6569.345519236922,-6569.345519236922
120,-39345.778815371,-6557.629802561835,-6557.629802561835,-6557.629802561835,-6557.629802561835,-6557.629802561835,-6557.629802561835
130,-39283.04756864731,-6547.174594774554,-6547.174594774554,-6547.174594774554,-6547.174594774554,-6547.174594774554,-6547.174594774554
140,-37383.30628793872,-6230.551047989789,-6230.551047989789,-6230.551047989789,-6230.551047989789,-6230.551047989789,-6230.551047989789
150,-37429.34046467731,-6238.223410779554,-6238.223410779554,-6238.223410779554,-6238.223410779554,-6238.223410779554,-6238.223410779554
160,-36875.550277810304,-6145.925046301711,-6145.925046301711,-6145.925046301711,-6145.925046301711,-6145.925046301711,-6145.925046301711
170,-35634.224757247146,-5939.037459541192,-5939.037459541192,-5939.037459541192,-5939.037459541192,-5939.037459541192,-5939.037459541192
180,-35445.53043079759,-5907.588405132939,-5907.588405132939,-5907.588405132939,-5907.588405132939,-5907.588405132939,-5907.588405132939
190,-34676.591512838524,-5779.431918806416,-5779.431918806416,-5779.431918806416,-5779.431918806416,-5779.431918806416,-5779.431918806416
200,-36222.13259125059,-6037.022098541766,-6037.022098541766,-6037.022098541766,-6037.022098541766,-6037.022098541766,-6037.022098541766
