episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-26751.868708973558,-4458.644784828926,-4458.644784828926,-4458.644784828926,-4458.644784828926,-4458.644784828926,-4458.644784828926
20,-24721.92462369143,-4120.320770615235,-4120.320770615235,-4120.320770615235,-4120.320770615235,-4120.320770615235,-4120.320770615235
30,-22568.70638888651,-3761.451064814417,-3761.451064814417,-3761.451064814417,-3761.451064814417,-3761.451064814417,-3761.451064814417
40,-25008.760427475634,-4168.126737912603,-4168.126737912603,-4168.126737912603,-4168.126737912603,-4168.126737912603,-4168.126737912603
