episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-42352.04912969011,-7058.674854948351,-7058.674854948351,-7058.674854948351,-7058.674854948351,-7058.674854948351,-7058.674854948351
20,-52483.03814853118,-8747.173024755193,-8747.173024755193,-8747.173024755193,-8747.173024755193,-8747.173024755193,-8747.173024755193
30,-51421.87745867355,-8570.312909778919,-8570.312909778919,-8570.312909778919,-8570.312909778919,-8570.312909778919,-8570.312909778919
40,-60006.63748370493,-10001.106247284155,-10001.106247284155,-10001.106247284155,-10001.106247284155,-10001.106247284155,-10001.106247284155
50,-58418.34996940623,-9736.391661567704,-9736.391661567704,-9736.391661567704,-9736.391661567704,-9736.391661567704,-9736.391661567704
60,-47109.55050854429,-7851.591751424053,-7851.591751424053,-7851.591751424053,-7851.591751424053,-7851.591751424053,-7851.591751424053
70,-40253.39913809272,-6708.899856348793,-6708.899856348793,-6708.899856348793,-6708.899856348793,-6708.899856348793,-6708.899856348793
80,-46388.72406930807,-7731.454011551342,-7731.454011551342,-7731.454011551342,-7731.454011551342,-7731.454011551342,-7731.454011551342
90,-42333.118540173295,-7055.519756695556,-7055.519756695556,-7055.519756695556,-7055.519756695556,-7055.519756695556,-7055.519756695556
100,-52555.46364914985,-8759.243941524972,-8759.243941524972,-8759.243941524972,-8759.243941524972,-8759.243941524972,-8759.243941524972
110,-55196.65195871401,-9199.441993118991,-9199.441993118991,-9199.441993118991,-9199.441993118991,-9199.441993118991,-9199.441993118991
120,-74554.46434201875,-12425.744057003136,-12425.744057003136,-12425.744057003136,-12425.744057003136,-12425.744057003136,-12425.744057003136
130,-56878.274013146336,-9479.71233552438,-9479.71233552438,-9479.71233552438,-9479.71233552438,-9479.71233552438,-9479.71233552438
140,-39505.13541218856,-6584.189235364762,-6584.189235364762,-6584.189235364762,-6584.189235364762,-6584.189235364762,-6584.189235364762
150,-36670.76420255365,-6111.794033758944,-6111.794033758944,-6111.794033758944,-6111.794033758944,-6111.794033758944,-6111.794033758944
160,-47791.21270393405,-7965.202117322338,-7965.202117322338,-7965.202117322338,-7965.202117322338,-7965.202117322338,-7965.202117322338
170,-53326.8496208187,-8887.80827013645,-8887.80827013645,-8887.80827013645,-8887.80827013645,-8887.80827013645,-8887.80827013645
180,-56503.91789059077,-9417.319648431798,-9417.319648431798,-9417.319648431798,-9417.319648431798,-9417.319648431798,-9417.319648431798
190,-53961.11747788766,-8993.51957964795,-8993.51957964795,-8993.51957964795,-8993.51957964795,-8993.51957964795,-8993.51957964795
200,-56160.12717007448,-9360.021195012414,-9360.021195012414,-9360.021195012414,-9360.021195012414,-9360.021195012414,-9360.021195012414
210,-56171.548289974846,-9361.924714995805,-9361.924714995805,-9361.924714995805,-9361.924714995805,-9361.924714995805,-9361.924714995805
220,-53946.293273402574,-8991.04887890042,-8991.04887890042,-8991.04887890042,-8991.04887890042,-8991.04887890042,-8991.04887890042
230,-54333.99151394869,-9055.66525232478,-9055.66525232478,-9055.66525232478,-9055.66525232478,-9055.66525232478,-9055.66525232478
