episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-15623.770845259205,-2603.9618075431968,-2603.9618075431968,-2603.9618075431968,-2603.9618075431968,-2603.9618075431968,-2603.9618075431968
20,-11295.036389421883,-1882.5060649036463,-1882.5060649036463,-1882.5060649036463,-1882.5060649036463,-1882.5060649036463,-1882.5060649036463
30,-14889.744064738732,-2481.624010789786,-2481.624010789786,-2481.624010789786,-2481.624010789786,-2481.624010789786,-2481.624010789786
40,-9839.189032293662,-1639.8648387156113,-1639.8648387156113,-1639.8648387156113,-1639.8648387156113,-1639.8648387156113,-1639.8648387156113
50,-5957.927987899036,-992.9879979831727,-992.9879979831727,-992.9879979831727,-992.9879979831727,-992.9879979831727,-992.9879979831727
60,-8676.491391127025,-1446.0818985211706,-1446.0818985211706,-1446.0818985211706,-1446.0818985211706,-1446.0818985211706,-1446.0818985211706
70,-9398.342958642515,-1566.390493107087,-1566.390493107087,-1566.390493107087,-1566.390493107087,-1566.390493107087,-1566.390493107087
80,-8732.76650981459,-1455.4610849690973,-1455.4610849690973,-1455.4610849690973,-1455.4610849690973,-1455.4610849690973,-1455.4610849690973
90,-9091.195216429893,-1515.1992027383142,-1515.1992027383142,-1515.1992027383142,-1515.1992027383142,-1515.1992027383142,-1515.1992027383142
100,-8478.615123193427,-1413.1025205322376,-1413.1025205322376,-1413.1025205322376,-1413.1025205322376,-1413.1025205322376,-1413.1025205322376
110,-8565.656552540047,-1427.6094254233428,-1427.6094254233428,-1427.6094254233428,-1427.6094254233428,-1427.6094254233428,-1427.6094254233428
120,-8323.733807787155,-1387.2889679645264,-1387.2889679645264,-1387.2889679645264,-1387.2889679645264,-1387.2889679645264,-1387.2889679645264
130,-8665.90956650539,-1444.3182610842327,-1444.3182610842327,-1444.3182610842327,-1444.3182610842327,-1444.3182610842327,-1444.3182610842327
140,-8845.024055368445,-1474.1706758947405,-1474.1706758947405,-1474.1706758947405,-1474.1706758947405,-1474.1706758947405,-1474.1706758947405
150,-8914.790057182112,-1485.798342863686,-1485.798342863686,-1485.798342863686,-1485.798342863686,-1485.798342863686,-1485.798342863686
160,-8789.363235920966,-1464.893872653494,-1464.893872653494,-1464.893872653494,-1464.893872653494,-1464.893872653494,-1464.893872653494
170,-8878.303307178056,-1479.7172178630099,-1479.7172178630099,-1479.7172178630099,-1479.7172178630099,-1479.7172178630099,-1479.7172178630099
180,-8754.097275847877,-1459.0162126413122,-1459.0162126413122,-1459.0162126413122,-1459.0162126413122,-1459.0162126413122,-1459.0162126413122
