episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-16478.508794015528,-2746.4181323359217,-2746.4181323359217,-2746.4181323359217,-2746.4181323359217,-2746.4181323359217,-2746.4181323359217
20,-17217.727203117956,-2869.6212005196617,-2869.6212005196617,-2869.6212005196617,-2869.6212005196617,-2869.6212005196617,-2869.6212005196617
30,-15400.664321055234,-2566.7773868425393,-2566.7773868425393,-2566.7773868425393,-2566.7773868425393,-2566.7773868425393,-2566.7773868425393
40,-24857.822899116636,-4142.970483186107,-4142.970483186107,-4142.970483186107,-4142.970483186107,-4142.970483186107,-4142.970483186107
50,-33855.261579101076,-5642.543596516845,-5642.543596516845,-5642.543596516845,-5642.543596516845,-5642.543596516845,-5642.543596516845
60,-18188.6475434627,-3031.4412572437823,-3031.4412572437823,-3031.4412572437823,-3031.4412572437823,-3031.4412572437823,-3031.4412572437823
70,-29480.249373865554,-4913.37489564426,-4913.37489564426,-4913.37489564426,-4913.37489564426,-4913.37489564426,-4913.37489564426
80,-50901.80733894041,-8483.63455649006,-8483.63455649006,-8483.63455649006,-8483.63455649006,-8483.63455649006,-8483.63455649006
90,-49038.84673294757,-8173.141122157935,-8173.141122157935,-8173.141122157935,-8173.141122157935,-8173.141122157935,-8173.141122157935
100,-38497.69490920386,-6416.282484867313,-6416.282484867313,-6416.282484867313,-6416.282484867313,-6416.282484867313,-6416.282484867313
110,-37338.93385731029,-6223.155642885047,-6223.155642885047,-6223.155642885047,-6223.155642885047,-6223.155642885047,-6223.155642885047
120,-37594.57979192429,-6265.763298654047,-6265.763298654047,-6265.763298654047,-6265.763298654047,-6265.763298654047,-6265.763298654047
130,-39054.19407732084,-6509.032346220144,-6509.032346220144,-6509.032346220144,-6509.032346220144,-6509.032346220144,-6509.032346220144
140,-39874.06028613461,-6645.676714355771,-6645.676714355771,-6645.676714355771,-6645.676714355771,-6645.676714355771,-6645.676714355771
150,-40492.513140216695,-6748.752190036117,-6748.752190036117,-6748.752190036117,-6748.752190036117,-6748.752190036117,-6748.752190036117
160,-41180.27406824638,-6863.3790113743935,-6863.3790113743935,-6863.3790113743935,-6863.3790113743935,-6863.3790113743935,-6863.3790113743935
170,-41800.97520158907,-6966.82920026484,-6966.82920026484,-6966.82920026484,-6966.82920026484,-6966.82920026484,-6966.82920026484
180,-41070.47203895956,-6845.078673159919,-6845.078673159919,-6845.078673159919,-6845.078673159919,-6845.078673159919,-6845.078673159919
190,-41631.605357852786,-6938.600892975466,-6938.600892975466,-6938.600892975466,-6938.600892975466,-6938.600892975466,-6938.600892975466
200,-42062.10837042505,-7010.351395070841,-7010.351395070841,-7010.351395070841,-7010.351395070841,-7010.351395070841,-7010.351395070841
210,-41674.47205795713,-6945.745342992852,-6945.745342992852,-6945.745342992852,-6945.745342992852,-6945.745342992852,-6945.745342992852
220,-42011.33987411145,-7001.889979018577,-7001.889979018577,-7001.889979018577,-7001.889979018577,-7001.889979018577,-7001.889979018577
230,-42822.82875870475,-7137.138126450793,-7137.138126450793,-7137.138126450793,-7137.138126450793,-7137.138126450793,-7137.138126450793
