episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-27693.141994884507,-4615.523665814084,-4615.523665814084,-4615.523665814084,-4615.523665814084,-4615.523665814084,-4615.523665814084
20,-33553.4204220344,-5592.236737005733,-5592.236737005733,-5592.236737005733,-5592.236737005733,-5592.236737005733,-5592.236737005733
30,-28207.761526580307,-4701.293587763384,-4701.293587763384,-4701.293587763384,-4701.293587763384,-4701.293587763384,-4701.293587763384
40,-18347.449575650513,-3057.9082626084164,-3057.9082626084164,-3057.9082626084164,-3057.9082626084164,-3057.9082626084164,-3057.9082626084164
