episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-38284.69695831024,-6380.78282638504,-6380.78282638504,-6380.78282638504,-6380.78282638504,-6380.78282638504,-6380.78282638504
20,-39197.83863762467,-6532.973106270777,-6532.973106270777,-6532.973106270777,-6532.973106270777,-6532.973106270777,-6532.973106270777
30,-34747.12519832021,-5791.187533053364,-5791.187533053364,-5791.187533053364,-5791.187533053364,-5791.187533053364,-5791.187533053364
40,-37537.119173723644,-6256.186528953939,-6256.186528953939,-6256.186528953939,-6256.186528953939,-6256.186528953939,-6256.186528953939
50,-37375.74671556089,-6229.291119260145,-6229.291119260145,-6229.291119260145,-6229.291119260145,-6229.291119260145,-6229.291119260145
60,-38055.79770424633,-6342.632950707724,-6342.632950707724,-6342.632950707724,-6342.632950707724,-6342.632950707724,-6342.632950707724
70,-37876.559835947606,-6312.759972657934,-6312.759972657934,-6312.759972657934,-6312.759972657934,-6312.759972657934,-6312.759972657934
80,-36689.01007119236,-6114.835011865397,-6114.835011865397,-6114.835011865397,-6114.835011865397,-6114.835011865397,-6114.835011865397
