episode,cum_reward,agent_0,agent_1,agent_2
1000,-157.4148759802325,-52.504625326744176,-52.454125326744176,-52.45612532674418
2000,-159.20346032087707,-53.09182010695902,-53.05932010695902,-53.05232010695902
3000,-161.44223464179584,-53.84007821393194,-53.793578213931944,-53.808578213931945
4000,-164.68046351539252,-54.9203211717975,-54.8753211717975,-54.8848211717975
