episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-24540.74333046644,-4090.123888411073,-4090.123888411073,-4090.123888411073,-4090.123888411073,-4090.123888411073,-4090.123888411073
20,-13098.28719777054,-2183.0478662950914,-2183.0478662950914,-2183.0478662950914,-2183.0478662950914,-2183.0478662950914,-2183.0478662950914
30,-14186.817443905378,-2364.46957398423,-2364.46957398423,-2364.46957398423,-2364.46957398423,-2364.46957398423,-2364.46957398423
40,-18792.134918104297,-3132.02248635072,-3132.02248635072,-3132.02248635072,-3132.02248635072,-3132.02248635072,-3132.02248635072
50,-18259.54003233677,-3043.2566720561267,-3043.2566720561267,-3043.2566720561267,-3043.2566720561267,-3043.2566720561267,-3043.2566720561267
60,-14188.660691321571,-2364.776781886927,-2364.776781886927,-2364.776781886927,-2364.776781886927,-2364.776781886927,-2364.776781886927
70,-11675.1752253118,-1945.862537551967,-1945.862537551967,-1945.862537551967,-1945.862537551967,-1945.862537551967,-1945.862537551967
80,-14127.20549769426,-2354.53424961571,-2354.53424961571,-2354.53424961571,-2354.53424961571,-2354.53424961571,-2354.53424961571
90,-14798.27167282257,-2466.3786121370945,-2466.3786121370945,-2466.3786121370945,-2466.3786121370945,-2466.3786121370945,-2466.3786121370945
100,-13114.957414925939,-2185.82623582099,-2185.82623582099,-2185.82623582099,-2185.82623582099,-2185.82623582099,-2185.82623582099
110,-14644.35532114273,-2440.72588685712,-2440.72588685712,-2440.72588685712,-2440.72588685712,-2440.72588685712,-2440.72588685712
120,-17139.356708495918,-2856.559451415985,-2856.559451415985,-2856.559451415985,-2856.559451415985,-2856.559451415985,-2856.559451415985
130,-21275.025016779873,-3545.8375027966476,-3545.8375027966476,-3545.8375027966476,-3545.8375027966476,-3545.8375027966476,-3545.8375027966476
140,-20962.248065649168,-3493.708010941522,-3493.708010941522,-3493.708010941522,-3493.708010941522,-3493.708010941522,-3493.708010941522
150,-17492.810997603734,-2915.4684996006254,-2915.4684996006254,-2915.4684996006254,-2915.4684996006254,-2915.4684996006254,-2915.4684996006254
160,-15576.375340988083,-2596.0625568313453,-2596.0625568313453,-2596.0625568313453,-2596.0625568313453,-2596.0625568313453,-2596.0625568313453
170,-20771.984922549218,-3461.9974870915344,-3461.9974870915344,-3461.9974870915344,-3461.9974870915344,-3461.9974870915344,-3461.9974870915344
180,-22059.948231593648,-3676.6580385989428,-3676.6580385989428,-3676.6580385989428,-3676.6580385989428,-3676.6580385989428,-3676.6580385989428
190,-24032.09912926774,-4005.3498548779557,-4005.3498548779557,-4005.3498548779557,-4005.3498548779557,-4005.3498548779557,-4005.3498548779557
200,-22836.20279256795,-3806.0337987613266,-3806.0337987613266,-3806.0337987613266,-3806.0337987613266,-3806.0337987613266,-3806.0337987613266
210,-24147.19101933958,-4024.531836556596,-4024.531836556596,-4024.531836556596,-4024.531836556596,-4024.531836556596,-4024.531836556596
220,-25862.28252036438,-4310.38042006073,-4310.38042006073,-4310.38042006073,-4310.38042006073,-4310.38042006073,-4310.38042006073
230,-15751.590585014817,-2625.2650975024712,-2625.2650975024712,-2625.2650975024712,-2625.2650975024712,-2625.2650975024712,-2625.2650975024712
240,-20719.61374146913,-3453.26895691152,-3453.26895691152,-3453.26895691152,-3453.26895691152,-3453.26895691152,-3453.26895691152
250,-25854.601427339934,-4309.1002378899875,-4309.1002378899875,-4309.1002378899875,-4309.1002378899875,-4309.1002378899875,-4309.1002378899875
260,-25994.776202969184,-4332.462700494859,-4332.462700494859,-4332.462700494859,-4332.462700494859,-4332.462700494859,-4332.462700494859
270,-26202.72030083519,-4367.120050139196,-4367.120050139196,-4367.120050139196,-4367.120050139196,-4367.120050139196,-4367.120050139196
280,-24621.869145494402,-4103.644857582401,-4103.644857582401,-4103.644857582401,-4103.644857582401,-4103.644857582401,-4103.644857582401
290,-28419.156909629597,-4736.526151604934,-4736.526151604934,-4736.526151604934,-4736.526151604934,-4736.526151604934,-4736.526151604934
300,-27605.673014852062,-4600.945502475347,-4600.945502475347,-4600.945502475347,-4600.945502475347,-4600.945502475347,-4600.945502475347
310,-24953.427486815526,-4158.90458113592,-4158.90458113592,-4158.90458113592,-4158.90458113592,-4158.90458113592,-4158.90458113592
320,-26462.8464219328,-4410.474403655465,-4410.474403655465,-4410.474403655465,-4410.474403655465,-4410.474403655465,-4410.474403655465
330,-27784.863281610644,-4630.81054693511,-4630.81054693511,-4630.81054693511,-4630.81054693511,-4630.81054693511,-4630.81054693511
340,-28022.808219827188,-4670.468036637864,-4670.468036637864,-4670.468036637864,-4670.468036637864,-4670.468036637864,-4670.468036637864
350,-29473.997087894968,-4912.332847982495,-4912.332847982495,-4912.332847982495,-4912.332847982495,-4912.332847982495,-4912.332847982495
