episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-21085.094527213307,-3514.182421202216,-3514.182421202216,-3514.182421202216,-3514.182421202216,-3514.182421202216,-3514.182421202216
20,-22702.79617906939,-3783.7993631782288,-3783.7993631782288,-3783.7993631782288,-3783.7993631782288,-3783.7993631782288,-3783.7993631782288
30,-12717.553864537655,-2119.5923107562767,-2119.5923107562767,-2119.5923107562767,-2119.5923107562767,-2119.5923107562767,-2119.5923107562767
40,-24552.13465340218,-4092.022442233697,-4092.022442233697,-4092.022442233697,-4092.022442233697,-4092.022442233697,-4092.022442233697
50,-13853.855536912824,-2308.975922818805,-2308.975922818805,-2308.975922818805,-2308.975922818805,-2308.975922818805,-2308.975922818805
60,-15232.04429684424,-2538.6740494740393,-2538.6740494740393,-2538.6740494740393,-2538.6740494740393,-2538.6740494740393,-2538.6740494740393
70,-12475.204901844318,-2079.2008169740525,-2079.2008169740525,-2079.2008169740525,-2079.2008169740525,-2079.2008169740525,-2079.2008169740525
80,-10224.063641124478,-1704.0106068540786,-1704.0106068540786,-1704.0106068540786,-1704.0106068540786,-1704.0106068540786,-1704.0106068540786
90,-12763.488004386109,-2127.248000731017,-2127.248000731017,-2127.248000731017,-2127.248000731017,-2127.248000731017,-2127.248000731017
100,-12196.992197863532,-2032.8320329772555,-2032.8320329772555,-2032.8320329772555,-2032.8320329772555,-2032.8320329772555,-2032.8320329772555
110,-14941.529349600602,-2490.2548916001015,-2490.2548916001015,-2490.2548916001015,-2490.2548916001015,-2490.2548916001015,-2490.2548916001015
120,-10288.278435426173,-1714.713072571029,-1714.713072571029,-1714.713072571029,-1714.713072571029,-1714.713072571029,-1714.713072571029
130,-10931.81003016631,-1821.9683383610507,-1821.9683383610507,-1821.9683383610507,-1821.9683383610507,-1821.9683383610507,-1821.9683383610507
140,-11733.22266837724,-1955.537111396206,-1955.537111396206,-1955.537111396206,-1955.537111396206,-1955.537111396206,-1955.537111396206
150,-12027.320927197545,-2004.5534878662554,-2004.5534878662554,-2004.5534878662554,-2004.5534878662554,-2004.5534878662554,-2004.5534878662554
160,-9996.714024974879,-1666.1190041624807,-1666.1190041624807,-1666.1190041624807,-1666.1190041624807,-1666.1190041624807,-1666.1190041624807
170,-10061.61940134439,-1676.9365668907303,-1676.9365668907303,-1676.9365668907303,-1676.9365668907303,-1676.9365668907303,-1676.9365668907303
180,-9581.454387206735,-1596.9090645344556,-1596.9090645344556,-1596.9090645344556,-1596.9090645344556,-1596.9090645344556,-1596.9090645344556
190,-9861.05664454271,-1643.5094407571182,-1643.5094407571182,-1643.5094407571182,-1643.5094407571182,-1643.5094407571182,-1643.5094407571182
200,-9813.1007553949,-1635.5167925658154,-1635.5167925658154,-1635.5167925658154,-1635.5167925658154,-1635.5167925658154,-1635.5167925658154
210,-9873.979430020318,-1645.6632383367196,-1645.6632383367196,-1645.6632383367196,-1645.6632383367196,-1645.6632383367196,-1645.6632383367196
220,-9828.740728585099,-1638.1234547641832,-1638.1234547641832,-1638.1234547641832,-1638.1234547641832,-1638.1234547641832,-1638.1234547641832
230,-11008.270835669033,-1834.7118059448374,-1834.7118059448374,-1834.7118059448374,-1834.7118059448374,-1834.7118059448374,-1834.7118059448374
240,-9877.388691410057,-1646.2314485683414,-1646.2314485683414,-1646.2314485683414,-1646.2314485683414,-1646.2314485683414,-1646.2314485683414
250,-10806.186041186953,-1801.0310068644915,-1801.0310068644915,-1801.0310068644915,-1801.0310068644915,-1801.0310068644915,-1801.0310068644915
260,-9874.507652692388,-1645.7512754487313,-1645.7512754487313,-1645.7512754487313,-1645.7512754487313,-1645.7512754487313,-1645.7512754487313
270,-9919.13262249502,-1653.1887704158376,-1653.1887704158376,-1653.1887704158376,-1653.1887704158376,-1653.1887704158376,-1653.1887704158376
280,-10088.85984035757,-1681.4766400595956,-1681.4766400595956,-1681.4766400595956,-1681.4766400595956,-1681.4766400595956,-1681.4766400595956
290,-10201.13589610301,-1700.1893160171671,-1700.1893160171671,-1700.1893160171671,-1700.1893160171671,-1700.1893160171671,-1700.1893160171671
300,-11713.569818538283,-1952.261636423047,-1952.261636423047,-1952.261636423047,-1952.261636423047,-1952.261636423047,-1952.261636423047
310,-10037.318709652503,-1672.88645160875,-1672.88645160875,-1672.88645160875,-1672.88645160875,-1672.88645160875,-1672.88645160875
320,-10036.682552535152,-1672.7804254225234,-1672.7804254225234,-1672.7804254225234,-1672.7804254225234,-1672.7804254225234,-1672.7804254225234
330,-11747.55602361626,-1957.9260039360422,-1957.9260039360422,-1957.9260039360422,-1957.9260039360422,-1957.9260039360422,-1957.9260039360422
340,-9869.809694546784,-1644.9682824244642,-1644.9682824244642,-1644.9682824244642,-1644.9682824244642,-1644.9682824244642,-1644.9682824244642
350,-10253.769759548102,-1708.9616265913512,-1708.9616265913512,-1708.9616265913512,-1708.9616265913512,-1708.9616265913512,-1708.9616265913512
360,-10330.768865702063,-1721.794810950345,-1721.794810950345,-1721.794810950345,-1721.794810950345,-1721.794810950345,-1721.794810950345
370,-10020.45611618988,-1670.0760193649799,-1670.0760193649799,-1670.0760193649799,-1670.0760193649799,-1670.0760193649799,-1670.0760193649799
380,-10045.483395781599,-1674.2472326302668,-1674.2472326302668,-1674.2472326302668,-1674.2472326302668,-1674.2472326302668,-1674.2472326302668
390,-10403.673613410949,-1733.9456022351576,-1733.9456022351576,-1733.9456022351576,-1733.9456022351576,-1733.9456022351576,-1733.9456022351576
400,-9877.921162705234,-1646.3201937842045,-1646.3201937842045,-1646.3201937842045,-1646.3201937842045,-1646.3201937842045,-1646.3201937842045
410,-10410.031182724244,-1735.005197120708,-1735.005197120708,-1735.005197120708,-1735.005197120708,-1735.005197120708,-1735.005197120708
420,-9643.668314733404,-1607.2780524555685,-1607.2780524555685,-1607.2780524555685,-1607.2780524555685,-1607.2780524555685,-1607.2780524555685
430,-10175.887646649902,-1695.9812744416522,-1695.9812744416522,-1695.9812744416522,-1695.9812744416522,-1695.9812744416522,-1695.9812744416522
440,-10137.618383930845,-1689.6030639884739,-1689.6030639884739,-1689.6030639884739,-1689.6030639884739,-1689.6030639884739,-1689.6030639884739
450,-9940.564971683667,-1656.7608286139439,-1656.7608286139439,-1656.7608286139439,-1656.7608286139439,-1656.7608286139439,-1656.7608286139439
460,-10126.977275638277,-1687.8295459397123,-1687.8295459397123,-1687.8295459397123,-1687.8295459397123,-1687.8295459397123,-1687.8295459397123
470,-10243.955357013858,-1707.3258928356433,-1707.3258928356433,-1707.3258928356433,-1707.3258928356433,-1707.3258928356433,-1707.3258928356433
480,-10104.7809548855,-1684.1301591475828,-1684.1301591475828,-1684.1301591475828,-1684.1301591475828,-1684.1301591475828,-1684.1301591475828
490,-10033.031998838027,-1672.1719998063388,-1672.1719998063388,-1672.1719998063388,-1672.1719998063388,-1672.1719998063388,-1672.1719998063388
500,-10324.639968302132,-1720.7733280503548,-1720.7733280503548,-1720.7733280503548,-1720.7733280503548,-1720.7733280503548,-1720.7733280503548
510,-10381.525030898407,-1730.2541718164023,-1730.2541718164023,-1730.2541718164023,-1730.2541718164023,-1730.2541718164023,-1730.2541718164023
520,-10836.81173678843,-1806.1352894647382,-1806.1352894647382,-1806.1352894647382,-1806.1352894647382,-1806.1352894647382,-1806.1352894647382
530,-10193.623728132381,-1698.9372880220624,-1698.9372880220624,-1698.9372880220624,-1698.9372880220624,-1698.9372880220624,-1698.9372880220624
540,-9815.53222755808,-1635.922037926347,-1635.922037926347,-1635.922037926347,-1635.922037926347,-1635.922037926347,-1635.922037926347
550,-11727.71142126778,-1954.6185702112969,-1954.6185702112969,-1954.6185702112969,-1954.6185702112969,-1954.6185702112969,-1954.6185702112969
560,-10426.882227451173,-1737.813704575195,-1737.813704575195,-1737.813704575195,-1737.813704575195,-1737.813704575195,-1737.813704575195
570,-10475.445933279949,-1745.9076555466586,-1745.9076555466586,-1745.9076555466586,-1745.9076555466586,-1745.9076555466586,-1745.9076555466586
