episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-32661.371612455354,-5443.5619354092305,-5443.5619354092305,-5443.5619354092305,-5443.5619354092305,-5443.5619354092305,-5443.5619354092305
20,-12650.49174563694,-2108.4152909394884,-2108.4152909394884,-2108.4152909394884,-2108.4152909394884,-2108.4152909394884,-2108.4152909394884
30,-10525.05548916406,-1754.175914860678,-1754.175914860678,-1754.175914860678,-1754.175914860678,-1754.175914860678,-1754.175914860678
40,-8109.910960164256,-1351.6518266940432,-1351.6518266940432,-1351.6518266940432,-1351.6518266940432,-1351.6518266940432,-1351.6518266940432
50,-15353.208850367553,-2558.868141727925,-2558.868141727925,-2558.868141727925,-2558.868141727925,-2558.868141727925,-2558.868141727925
60,-23267.987370457056,-3877.997895076176,-3877.997895076176,-3877.997895076176,-3877.997895076176,-3877.997895076176,-3877.997895076176
70,-20707.38907495985,-3451.231512493306,-3451.231512493306,-3451.231512493306,-3451.231512493306,-3451.231512493306,-3451.231512493306
80,-18531.26342254459,-3088.5439037574265,-3088.5439037574265,-3088.5439037574265,-3088.5439037574265,-3088.5439037574265,-3088.5439037574265
90,-22332.0861130245,-3722.014352170749,-3722.014352170749,-3722.014352170749,-3722.014352170749,-3722.014352170749,-3722.014352170749
100,-16203.543613616304,-2700.5906022693844,-2700.5906022693844,-2700.5906022693844,-2700.5906022693844,-2700.5906022693844,-2700.5906022693844
110,-11756.236789699336,-1959.3727982832218,-1959.3727982832218,-1959.3727982832218,-1959.3727982832218,-1959.3727982832218,-1959.3727982832218
120,-9593.190745523287,-1598.8651242538804,-1598.8651242538804,-1598.8651242538804,-1598.8651242538804,-1598.8651242538804,-1598.8651242538804
130,-7201.342622913525,-1200.2237704855872,-1200.2237704855872,-1200.2237704855872,-1200.2237704855872,-1200.2237704855872,-1200.2237704855872
140,-6381.373436641721,-1063.5622394402876,-1063.5622394402876,-1063.5622394402876,-1063.5622394402876,-1063.5622394402876,-1063.5622394402876
150,-6306.68422440835,-1051.114037401392,-1051.114037401392,-1051.114037401392,-1051.114037401392,-1051.114037401392,-1051.114037401392
160,-8800.34053762974,-1466.723422938289,-1466.723422938289,-1466.723422938289,-1466.723422938289,-1466.723422938289,-1466.723422938289
170,-6849.572693785909,-1141.5954489643193,-1141.5954489643193,-1141.5954489643193,-1141.5954489643193,-1141.5954489643193,-1141.5954489643193
180,-8750.480024259712,-1458.413337376619,-1458.413337376619,-1458.413337376619,-1458.413337376619,-1458.413337376619,-1458.413337376619
190,-8431.1957798745,-1405.1992966457497,-1405.1992966457497,-1405.1992966457497,-1405.1992966457497,-1405.1992966457497,-1405.1992966457497
200,-7872.327395888348,-1312.054565981392,-1312.054565981392,-1312.054565981392,-1312.054565981392,-1312.054565981392,-1312.054565981392
210,-6266.20909083151,-1044.368181805252,-1044.368181805252,-1044.368181805252,-1044.368181805252,-1044.368181805252,-1044.368181805252
220,-7413.3019581363915,-1235.5503263560659,-1235.5503263560659,-1235.5503263560659,-1235.5503263560659,-1235.5503263560659,-1235.5503263560659
230,-7770.843135228392,-1295.140522538064,-1295.140522538064,-1295.140522538064,-1295.140522538064,-1295.140522538064,-1295.140522538064
240,-7776.202452969437,-1296.0337421615736,-1296.0337421615736,-1296.0337421615736,-1296.0337421615736,-1296.0337421615736,-1296.0337421615736
250,-7294.622084675732,-1215.7703474459556,-1215.7703474459556,-1215.7703474459556,-1215.7703474459556,-1215.7703474459556,-1215.7703474459556
260,-7879.084093503881,-1313.1806822506474,-1313.1806822506474,-1313.1806822506474,-1313.1806822506474,-1313.1806822506474,-1313.1806822506474
270,-8213.498898325697,-1368.9164830542825,-1368.9164830542825,-1368.9164830542825,-1368.9164830542825,-1368.9164830542825,-1368.9164830542825
280,-7852.680185003932,-1308.7800308339895,-1308.7800308339895,-1308.7800308339895,-1308.7800308339895,-1308.7800308339895,-1308.7800308339895
290,-8174.246655050006,-1362.3744425083348,-1362.3744425083348,-1362.3744425083348,-1362.3744425083348,-1362.3744425083348,-1362.3744425083348
