episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-48439.132572810166,-8073.188762135022,-8073.188762135022,-8073.188762135022,-8073.188762135022,-8073.188762135022,-8073.188762135022
20,-6778.48618510811,-1129.7476975180177,-1129.7476975180177,-1129.7476975180177,-1129.7476975180177,-1129.7476975180177,-1129.7476975180177
30,-9534.412376723174,-1589.068729453862,-1589.068729453862,-1589.068729453862,-1589.068729453862,-1589.068729453862,-1589.068729453862
40,-17544.641076403146,-2924.1068460671895,-2924.1068460671895,-2924.1068460671895,-2924.1068460671895,-2924.1068460671895,-2924.1068460671895
50,-16472.85452008539,-2745.4757533475654,-2745.4757533475654,-2745.4757533475654,-2745.4757533475654,-2745.4757533475654,-2745.4757533475654
60,-11564.6003786432,-1927.4333964405334,-1927.4333964405334,-1927.4333964405334,-1927.4333964405334,-1927.4333964405334,-1927.4333964405334
70,-6655.564772930025,-1109.2607954883374,-1109.2607954883374,-1109.2607954883374,-1109.2607954883374,-1109.2607954883374,-1109.2607954883374
80,-6596.963248818033,-1099.4938748030056,-1099.4938748030056,-1099.4938748030056,-1099.4938748030056,-1099.4938748030056,-1099.4938748030056
90,-6571.617870687334,-1095.2696451145566,-1095.2696451145566,-1095.2696451145566,-1095.2696451145566,-1095.2696451145566,-1095.2696451145566
100,-13010.630258072186,-2168.4383763453634,-2168.4383763453634,-2168.4383763453634,-2168.4383763453634,-2168.4383763453634,-2168.4383763453634
110,-10797.701652419933,-1799.6169420699894,-1799.6169420699894,-1799.6169420699894,-1799.6169420699894,-1799.6169420699894,-1799.6169420699894
120,-9416.666859421373,-1569.444476570229,-1569.444476570229,-1569.444476570229,-1569.444476570229,-1569.444476570229,-1569.444476570229
130,-21010.590882483586,-3501.765147080595,-3501.765147080595,-3501.765147080595,-3501.765147080595,-3501.765147080595,-3501.765147080595
140,-10667.278745941085,-1777.879790990181,-1777.879790990181,-1777.879790990181,-1777.879790990181,-1777.879790990181,-1777.879790990181
150,-14679.961242500905,-2446.6602070834824,-2446.6602070834824,-2446.6602070834824,-2446.6602070834824,-2446.6602070834824,-2446.6602070834824
160,-9401.288229223885,-1566.881371537314,-1566.881371537314,-1566.881371537314,-1566.881371537314,-1566.881371537314,-1566.881371537314
170,-9362.903664141395,-1560.483944023566,-1560.483944023566,-1560.483944023566,-1560.483944023566,-1560.483944023566,-1560.483944023566
180,-7077.933188433757,-1179.6555314056257,-1179.6555314056257,-1179.6555314056257,-1179.6555314056257,-1179.6555314056257,-1179.6555314056257
190,-10399.10471644301,-1733.184119407169,-1733.184119407169,-1733.184119407169,-1733.184119407169,-1733.184119407169,-1733.184119407169
200,-11125.381738176575,-1854.2302896960969,-1854.2302896960969,-1854.2302896960969,-1854.2302896960969,-1854.2302896960969,-1854.2302896960969
210,-8575.489970446306,-1429.2483284077177,-1429.2483284077177,-1429.2483284077177,-1429.2483284077177,-1429.2483284077177,-1429.2483284077177
220,-7782.210277377804,-1297.035046229634,-1297.035046229634,-1297.035046229634,-1297.035046229634,-1297.035046229634,-1297.035046229634
230,-11717.698461283919,-1952.9497435473204,-1952.9497435473204,-1952.9497435473204,-1952.9497435473204,-1952.9497435473204,-1952.9497435473204
240,-9833.231771317991,-1638.8719618863302,-1638.8719618863302,-1638.8719618863302,-1638.8719618863302,-1638.8719618863302,-1638.8719618863302
250,-10504.233964209725,-1750.7056607016207,-1750.7056607016207,-1750.7056607016207,-1750.7056607016207,-1750.7056607016207,-1750.7056607016207
260,-10753.708869193466,-1792.2848115322456,-1792.2848115322456,-1792.2848115322456,-1792.2848115322456,-1792.2848115322456,-1792.2848115322456
270,-10735.932420730911,-1789.3220701218204,-1789.3220701218204,-1789.3220701218204,-1789.3220701218204,-1789.3220701218204,-1789.3220701218204
280,-12091.432658280191,-2015.238776380033,-2015.238776380033,-2015.238776380033,-2015.238776380033,-2015.238776380033,-2015.238776380033
290,-12121.14706518818,-2020.191177531363,-2020.191177531363,-2020.191177531363,-2020.191177531363,-2020.191177531363,-2020.191177531363
300,-9958.530597252553,-1659.755099542091,-1659.755099542091,-1659.755099542091,-1659.755099542091,-1659.755099542091,-1659.755099542091
310,-9703.572165455636,-1617.26202757594,-1617.26202757594,-1617.26202757594,-1617.26202757594,-1617.26202757594,-1617.26202757594
320,-9581.40641963002,-1596.9010699383377,-1596.9010699383377,-1596.9010699383377,-1596.9010699383377,-1596.9010699383377,-1596.9010699383377
330,-10505.133018910545,-1750.8555031517585,-1750.8555031517585,-1750.8555031517585,-1750.8555031517585,-1750.8555031517585,-1750.8555031517585
340,-11717.168644276417,-1952.8614407127357,-1952.8614407127357,-1952.8614407127357,-1952.8614407127357,-1952.8614407127357,-1952.8614407127357
350,-9287.497725896264,-1547.9162876493785,-1547.9162876493785,-1547.9162876493785,-1547.9162876493785,-1547.9162876493785,-1547.9162876493785
360,-10024.363461095147,-1670.727243515858,-1670.727243515858,-1670.727243515858,-1670.727243515858,-1670.727243515858,-1670.727243515858
370,-9122.33444694354,-1520.3890744905893,-1520.3890744905893,-1520.3890744905893,-1520.3890744905893,-1520.3890744905893,-1520.3890744905893
380,-9336.594801733514,-1556.0991336222537,-1556.0991336222537,-1556.0991336222537,-1556.0991336222537,-1556.0991336222537,-1556.0991336222537
390,-9445.660442170021,-1574.2767403616704,-1574.2767403616704,-1574.2767403616704,-1574.2767403616704,-1574.2767403616704,-1574.2767403616704
400,-9775.563776860628,-1629.2606294767706,-1629.2606294767706,-1629.2606294767706,-1629.2606294767706,-1629.2606294767706,-1629.2606294767706
410,-8730.80438253114,-1455.1340637551898,-1455.1340637551898,-1455.1340637551898,-1455.1340637551898,-1455.1340637551898,-1455.1340637551898
420,-9340.224029448042,-1556.7040049080067,-1556.7040049080067,-1556.7040049080067,-1556.7040049080067,-1556.7040049080067,-1556.7040049080067
430,-9145.875262119871,-1524.3125436866444,-1524.3125436866444,-1524.3125436866444,-1524.3125436866444,-1524.3125436866444,-1524.3125436866444
440,-8927.107463388566,-1487.851243898095,-1487.851243898095,-1487.851243898095,-1487.851243898095,-1487.851243898095,-1487.851243898095
450,-8419.370100406926,-1403.2283500678213,-1403.2283500678213,-1403.2283500678213,-1403.2283500678213,-1403.2283500678213,-1403.2283500678213
460,-8328.929179380464,-1388.1548632300776,-1388.1548632300776,-1388.1548632300776,-1388.1548632300776,-1388.1548632300776,-1388.1548632300776
470,-8484.130774650446,-1414.0217957750745,-1414.0217957750745,-1414.0217957750745,-1414.0217957750745,-1414.0217957750745,-1414.0217957750745
480,-7136.571553587183,-1189.4285922645308,-1189.4285922645308,-1189.4285922645308,-1189.4285922645308,-1189.4285922645308,-1189.4285922645308
490,-10558.998877661776,-1759.833146276962,-1759.833146276962,-1759.833146276962,-1759.833146276962,-1759.833146276962,-1759.833146276962
