episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-103977.59291615957,-17329.598819359933,-17329.598819359933,-17329.598819359933,-17329.598819359933,-17329.598819359933,-17329.598819359933
20,-104759.84954780093,-17459.974924633483,-17459.974924633483,-17459.974924633483,-17459.974924633483,-17459.974924633483,-17459.974924633483
30,-111540.43438034828,-18590.072396724707,-18590.072396724707,-18590.072396724707,-18590.072396724707,-18590.072396724707,-18590.072396724707
40,-109353.56539402637,-18225.594232337724,-18225.594232337724,-18225.594232337724,-18225.594232337724,-18225.594232337724,-18225.594232337724
