episode,cum_reward,agent_0,agent_1,agent_2
1000,-197.16935154720926,-65.71761718240309,-65.7036171824031,-65.74811718240309
2000,-170.48488011486631,-56.815460038288755,-56.81746003828876,-56.85196003828876
3000,-154.6443514012077,-51.54645046706924,-51.53395046706923,-51.56395046706924
4000,-150.94685572364637,-50.31245190788213,-50.29595190788213,-50.338451907882124
