episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-41083.24562773176,-6847.207604621964,-6847.207604621964,-6847.207604621964,-6847.207604621964,-6847.207604621964,-6847.207604621964
20,-53203.05300397379,-8867.175500662303,-8867.175500662303,-8867.175500662303,-8867.175500662303,-8867.175500662303,-8867.175500662303
30,-49885.59233107366,-8314.265388512278,-8314.265388512278,-8314.265388512278,-8314.265388512278,-8314.265388512278,-8314.265388512278
40,-30390.85053901285,-5065.14175650214,-5065.14175650214,-5065.14175650214,-5065.14175650214,-5065.14175650214,-5065.14175650214
50,-32063.632305473897,-5343.938717578987,-5343.938717578987,-5343.938717578987,-5343.938717578987,-5343.938717578987,-5343.938717578987
60,-29802.33292299028,-4967.055487165044,-4967.055487165044,-4967.055487165044,-4967.055487165044,-4967.055487165044,-4967.055487165044
70,-28616.965749245497,-4769.494291540921,-4769.494291540921,-4769.494291540921,-4769.494291540921,-4769.494291540921,-4769.494291540921
80,-25614.689880372964,-4269.114980062162,-4269.114980062162,-4269.114980062162,-4269.114980062162,-4269.114980062162,-4269.114980062162
90,-24993.243004615575,-4165.5405007692625,-4165.5405007692625,-4165.5405007692625,-4165.5405007692625,-4165.5405007692625,-4165.5405007692625
100,-27905.544585471827,-4650.92409757864,-4650.92409757864,-4650.92409757864,-4650.92409757864,-4650.92409757864,-4650.92409757864
