episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-16382.762411416861,-2730.4604019028097,-2730.4604019028097,-2730.4604019028097,-2730.4604019028097,-2730.4604019028097,-2730.4604019028097
20,-22507.082476982294,-3751.1804128303834,-3751.1804128303834,-3751.1804128303834,-3751.1804128303834,-3751.1804128303834,-3751.1804128303834
30,-40187.483326839065,-6697.9138878065105,-6697.9138878065105,-6697.9138878065105,-6697.9138878065105,-6697.9138878065105,-6697.9138878065105
40,-52985.71310214144,-8830.952183690239,-8830.952183690239,-8830.952183690239,-8830.952183690239,-8830.952183690239,-8830.952183690239
50,-48056.1161263155,-8009.352687719247,-8009.352687719247,-8009.352687719247,-8009.352687719247,-8009.352687719247,-8009.352687719247
60,-43613.39413792662,-7268.89902298777,-7268.89902298777,-7268.89902298777,-7268.89902298777,-7268.89902298777,-7268.89902298777
70,-43657.525374040175,-7276.2542290066995,-7276.2542290066995,-7276.2542290066995,-7276.2542290066995,-7276.2542290066995,-7276.2542290066995
80,-36884.36942533306,-6147.394904222172,-6147.394904222172,-6147.394904222172,-6147.394904222172,-6147.394904222172,-6147.394904222172
90,-28790.909234539547,-4798.484872423261,-4798.484872423261,-4798.484872423261,-4798.484872423261,-4798.484872423261,-4798.484872423261
100,-30163.644738966937,-5027.27412316116,-5027.27412316116,-5027.27412316116,-5027.27412316116,-5027.27412316116,-5027.27412316116
110,-41381.016728307586,-6896.836121384593,-6896.836121384593,-6896.836121384593,-6896.836121384593,-6896.836121384593,-6896.836121384593
120,-51626.491658005514,-8604.415276334254,-8604.415276334254,-8604.415276334254,-8604.415276334254,-8604.415276334254,-8604.415276334254
130,-49214.28792721292,-8202.381321202149,-8202.381321202149,-8202.381321202149,-8202.381321202149,-8202.381321202149,-8202.381321202149
140,-47712.345895016755,-7952.057649169465,-7952.057649169465,-7952.057649169465,-7952.057649169465,-7952.057649169465,-7952.057649169465
150,-44137.05795497395,-7356.176325828987,-7356.176325828987,-7356.176325828987,-7356.176325828987,-7356.176325828987,-7356.176325828987
160,-39533.66481442862,-6588.944135738105,-6588.944135738105,-6588.944135738105,-6588.944135738105,-6588.944135738105,-6588.944135738105
170,-37361.73238004364,-6226.955396673944,-6226.955396673944,-6226.955396673944,-6226.955396673944,-6226.955396673944,-6226.955396673944
180,-38974.594773066085,-6495.765795511008,-6495.765795511008,-6495.765795511008,-6495.765795511008,-6495.765795511008,-6495.765795511008
190,-41556.93684352291,-6926.156140587154,-6926.156140587154,-6926.156140587154,-6926.156140587154,-6926.156140587154,-6926.156140587154
200,-39075.35288146916,-6512.558813578191,-6512.558813578191,-6512.558813578191,-6512.558813578191,-6512.558813578191,-6512.558813578191
210,-36515.571275492795,-6085.928545915468,-6085.928545915468,-6085.928545915468,-6085.928545915468,-6085.928545915468,-6085.928545915468
220,-34338.26505503642,-5723.044175839403,-5723.044175839403,-5723.044175839403,-5723.044175839403,-5723.044175839403,-5723.044175839403
230,-31469.69138154632,-5244.948563591051,-5244.948563591051,-5244.948563591051,-5244.948563591051,-5244.948563591051,-5244.948563591051
240,-30500.320336871082,-5083.38672281185,-5083.38672281185,-5083.38672281185,-5083.38672281185,-5083.38672281185,-5083.38672281185
250,-25910.64002667777,-4318.440004446297,-4318.440004446297,-4318.440004446297,-4318.440004446297,-4318.440004446297,-4318.440004446297
260,-25456.27858803073,-4242.7130980051215,-4242.7130980051215,-4242.7130980051215,-4242.7130980051215,-4242.7130980051215,-4242.7130980051215
270,-29002.545153869032,-4833.757525644838,-4833.757525644838,-4833.757525644838,-4833.757525644838,-4833.757525644838,-4833.757525644838
280,-27284.102031721355,-4547.350338620226,-4547.350338620226,-4547.350338620226,-4547.350338620226,-4547.350338620226,-4547.350338620226
290,-26349.682308414915,-4391.613718069155,-4391.613718069155,-4391.613718069155,-4391.613718069155,-4391.613718069155,-4391.613718069155
300,-26308.99274417302,-4384.83212402884,-4384.83212402884,-4384.83212402884,-4384.83212402884,-4384.83212402884,-4384.83212402884
310,-26445.188254129713,-4407.531375688282,-4407.531375688282,-4407.531375688282,-4407.531375688282,-4407.531375688282,-4407.531375688282
320,-26940.184005348787,-4490.030667558128,-4490.030667558128,-4490.030667558128,-4490.030667558128,-4490.030667558128,-4490.030667558128
330,-26104.016540211567,-4350.669423368596,-4350.669423368596,-4350.669423368596,-4350.669423368596,-4350.669423368596,-4350.669423368596
340,-25265.141231400823,-4210.856871900138,-4210.856871900138,-4210.856871900138,-4210.856871900138,-4210.856871900138,-4210.856871900138
350,-24413.659516934327,-4068.9432528223856,-4068.9432528223856,-4068.9432528223856,-4068.9432528223856,-4068.9432528223856,-4068.9432528223856
360,-20614.495618589986,-3435.749269765,-3435.749269765,-3435.749269765,-3435.749269765,-3435.749269765,-3435.749269765
370,-19657.241786348113,-3276.206964391348,-3276.206964391348,-3276.206964391348,-3276.206964391348,-3276.206964391348,-3276.206964391348
380,-18910.143793868425,-3151.690632311403,-3151.690632311403,-3151.690632311403,-3151.690632311403,-3151.690632311403,-3151.690632311403
390,-18907.371171423594,-3151.228528570603,-3151.228528570603,-3151.228528570603,-3151.228528570603,-3151.228528570603,-3151.228528570603
400,-20246.617380352935,-3374.4362300588245,-3374.4362300588245,-3374.4362300588245,-3374.4362300588245,-3374.4362300588245,-3374.4362300588245
410,-17510.31135554087,-2918.3852259234773,-2918.3852259234773,-2918.3852259234773,-2918.3852259234773,-2918.3852259234773,-2918.3852259234773
420,-17889.384245528025,-2981.5640409213365,-2981.5640409213365,-2981.5640409213365,-2981.5640409213365,-2981.5640409213365,-2981.5640409213365
430,-16420.68613592613,-2736.7810226543565,-2736.7810226543565,-2736.7810226543565,-2736.7810226543565,-2736.7810226543565,-2736.7810226543565
440,-17136.102533770663,-2856.017088961778,-2856.017088961778,-2856.017088961778,-2856.017088961778,-2856.017088961778,-2856.017088961778
450,-17415.035149268228,-2902.5058582113716,-2902.5058582113716,-2902.5058582113716,-2902.5058582113716,-2902.5058582113716,-2902.5058582113716
460,-18271.92947468005,-3045.321579113343,-3045.321579113343,-3045.321579113343,-3045.321579113343,-3045.321579113343,-3045.321579113343
470,-19130.470391418243,-3188.41173190304,-3188.41173190304,-3188.41173190304,-3188.41173190304,-3188.41173190304,-3188.41173190304
480,-19209.034950100515,-3201.505825016753,-3201.505825016753,-3201.505825016753,-3201.505825016753,-3201.505825016753,-3201.505825016753
490,-17378.997100852932,-2896.499516808823,-2896.499516808823,-2896.499516808823,-2896.499516808823,-2896.499516808823,-2896.499516808823
500,-18084.057443374986,-3014.00957389583,-3014.00957389583,-3014.00957389583,-3014.00957389583,-3014.00957389583,-3014.00957389583
