episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-26225.07593604683,-4370.845989341138,-4370.845989341138,-4370.845989341138,-4370.845989341138,-4370.845989341138,-4370.845989341138
20,-6057.318484834647,-1009.553080805775,-1009.553080805775,-1009.553080805775,-1009.553080805775,-1009.553080805775,-1009.553080805775
30,-8630.685387765994,-1438.4475646276658,-1438.4475646276658,-1438.4475646276658,-1438.4475646276658,-1438.4475646276658,-1438.4475646276658
40,-16730.703541928047,-2788.4505903213435,-2788.4505903213435,-2788.4505903213435,-2788.4505903213435,-2788.4505903213435,-2788.4505903213435
50,-16748.36632445042,-2791.394387408404,-2791.394387408404,-2791.394387408404,-2791.394387408404,-2791.394387408404,-2791.394387408404
60,-21200.39148741522,-3533.3985812358683,-3533.3985812358683,-3533.3985812358683,-3533.3985812358683,-3533.3985812358683,-3533.3985812358683
70,-22360.758479422486,-3726.793079903747,-3726.793079903747,-3726.793079903747,-3726.793079903747,-3726.793079903747,-3726.793079903747
80,-21653.495653367016,-3608.9159422278344,-3608.9159422278344,-3608.9159422278344,-3608.9159422278344,-3608.9159422278344,-3608.9159422278344
90,-22211.003903580397,-3701.833983930065,-3701.833983930065,-3701.833983930065,-3701.833983930065,-3701.833983930065,-3701.833983930065
100,-20109.152802089615,-3351.5254670149343,-3351.5254670149343,-3351.5254670149343,-3351.5254670149343,-3351.5254670149343,-3351.5254670149343
110,-21168.202070381052,-3528.033678396845,-3528.033678396845,-3528.033678396845,-3528.033678396845,-3528.033678396845,-3528.033678396845
120,-20421.428272863446,-3403.5713788105727,-3403.5713788105727,-3403.5713788105727,-3403.5713788105727,-3403.5713788105727,-3403.5713788105727
130,-21883.918227354858,-3647.319704559144,-3647.319704559144,-3647.319704559144,-3647.319704559144,-3647.319704559144,-3647.319704559144
140,-21469.494723094558,-3578.2491205157576,-3578.2491205157576,-3578.2491205157576,-3578.2491205157576,-3578.2491205157576,-3578.2491205157576
150,-21857.22758156503,-3642.8712635941715,-3642.8712635941715,-3642.8712635941715,-3642.8712635941715,-3642.8712635941715,-3642.8712635941715
160,-22287.129801663283,-3714.5216336105464,-3714.5216336105464,-3714.5216336105464,-3714.5216336105464,-3714.5216336105464,-3714.5216336105464
170,-22306.150640435946,-3717.6917734059884,-3717.6917734059884,-3717.6917734059884,-3717.6917734059884,-3717.6917734059884,-3717.6917734059884
180,-21665.061254012417,-3610.8435423354044,-3610.8435423354044,-3610.8435423354044,-3610.8435423354044,-3610.8435423354044,-3610.8435423354044
190,-26750.362283437793,-4458.393713906298,-4458.393713906298,-4458.393713906298,-4458.393713906298,-4458.393713906298,-4458.393713906298
200,-15231.816738917056,-2538.6361231528426,-2538.6361231528426,-2538.6361231528426,-2538.6361231528426,-2538.6361231528426,-2538.6361231528426
210,-16909.589097882592,-2818.2648496471,-2818.2648496471,-2818.2648496471,-2818.2648496471,-2818.2648496471,-2818.2648496471
220,-9444.716311762862,-1574.119385293809,-1574.119385293809,-1574.119385293809,-1574.119385293809,-1574.119385293809,-1574.119385293809
230,-10238.420571313052,-1706.403428552175,-1706.403428552175,-1706.403428552175,-1706.403428552175,-1706.403428552175,-1706.403428552175
240,-9098.228986192336,-1516.3714976987235,-1516.3714976987235,-1516.3714976987235,-1516.3714976987235,-1516.3714976987235,-1516.3714976987235
250,-8720.388018504369,-1453.3980030840614,-1453.3980030840614,-1453.3980030840614,-1453.3980030840614,-1453.3980030840614,-1453.3980030840614
260,-9747.676610151935,-1624.6127683586571,-1624.6127683586571,-1624.6127683586571,-1624.6127683586571,-1624.6127683586571,-1624.6127683586571
270,-10007.627736240267,-1667.9379560400448,-1667.9379560400448,-1667.9379560400448,-1667.9379560400448,-1667.9379560400448,-1667.9379560400448
280,-9348.290030509255,-1558.048338418208,-1558.048338418208,-1558.048338418208,-1558.048338418208,-1558.048338418208,-1558.048338418208
290,-8699.203034145568,-1449.8671723575947,-1449.8671723575947,-1449.8671723575947,-1449.8671723575947,-1449.8671723575947,-1449.8671723575947
300,-9258.334215271952,-1543.055702545326,-1543.055702545326,-1543.055702545326,-1543.055702545326,-1543.055702545326,-1543.055702545326
310,-9853.904238714947,-1642.317373119157,-1642.317373119157,-1642.317373119157,-1642.317373119157,-1642.317373119157,-1642.317373119157
320,-9166.113301551366,-1527.68555025856,-1527.68555025856,-1527.68555025856,-1527.68555025856,-1527.68555025856,-1527.68555025856
330,-10084.074894753841,-1680.6791491256402,-1680.6791491256402,-1680.6791491256402,-1680.6791491256402,-1680.6791491256402,-1680.6791491256402
340,-9712.551597262325,-1618.7585995437228,-1618.7585995437228,-1618.7585995437228,-1618.7585995437228,-1618.7585995437228,-1618.7585995437228
350,-8984.726238468962,-1497.4543730781597,-1497.4543730781597,-1497.4543730781597,-1497.4543730781597,-1497.4543730781597,-1497.4543730781597
360,-9916.857736339061,-1652.8096227231758,-1652.8096227231758,-1652.8096227231758,-1652.8096227231758,-1652.8096227231758,-1652.8096227231758
370,-9918.408692778365,-1653.0681154630613,-1653.0681154630613,-1653.0681154630613,-1653.0681154630613,-1653.0681154630613,-1653.0681154630613
380,-9470.772997056569,-1578.4621661760953,-1578.4621661760953,-1578.4621661760953,-1578.4621661760953,-1578.4621661760953,-1578.4621661760953
390,-8738.353256878148,-1456.3922094796908,-1456.3922094796908,-1456.3922094796908,-1456.3922094796908,-1456.3922094796908,-1456.3922094796908
400,-10667.764027528783,-1777.9606712547975,-1777.9606712547975,-1777.9606712547975,-1777.9606712547975,-1777.9606712547975,-1777.9606712547975
410,-9000.362309269774,-1500.0603848782966,-1500.0603848782966,-1500.0603848782966,-1500.0603848782966,-1500.0603848782966,-1500.0603848782966
420,-9203.033347544198,-1533.838891257365,-1533.838891257365,-1533.838891257365,-1533.838891257365,-1533.838891257365,-1533.838891257365
430,-7303.746089511915,-1217.291014918653,-1217.291014918653,-1217.291014918653,-1217.291014918653,-1217.291014918653,-1217.291014918653
440,-9330.25077866386,-1555.0417964439778,-1555.0417964439778,-1555.0417964439778,-1555.0417964439778,-1555.0417964439778,-1555.0417964439778
450,-9690.692991148326,-1615.1154985247226,-1615.1154985247226,-1615.1154985247226,-1615.1154985247226,-1615.1154985247226,-1615.1154985247226
460,-8980.436503719828,-1496.7394172866373,-1496.7394172866373,-1496.7394172866373,-1496.7394172866373,-1496.7394172866373,-1496.7394172866373
470,-8811.768749163468,-1468.6281248605783,-1468.6281248605783,-1468.6281248605783,-1468.6281248605783,-1468.6281248605783,-1468.6281248605783
480,-9448.142761829748,-1574.6904603049584,-1574.6904603049584,-1574.6904603049584,-1574.6904603049584,-1574.6904603049584,-1574.6904603049584
490,-9587.732333941534,-1597.9553889902559,-1597.9553889902559,-1597.9553889902559,-1597.9553889902559,-1597.9553889902559,-1597.9553889902559
500,-9649.624631922374,-1608.2707719870616,-1608.2707719870616,-1608.2707719870616,-1608.2707719870616,-1608.2707719870616,-1608.2707719870616
510,-9551.485217814556,-1591.9142029690909,-1591.9142029690909,-1591.9142029690909,-1591.9142029690909,-1591.9142029690909,-1591.9142029690909
520,-9227.447256273605,-1537.9078760456018,-1537.9078760456018,-1537.9078760456018,-1537.9078760456018,-1537.9078760456018,-1537.9078760456018
530,-10163.602940204815,-1693.9338233674712,-1693.9338233674712,-1693.9338233674712,-1693.9338233674712,-1693.9338233674712,-1693.9338233674712
540,-9646.280845357285,-1607.7134742262147,-1607.7134742262147,-1607.7134742262147,-1607.7134742262147,-1607.7134742262147,-1607.7134742262147
550,-9608.52912604506,-1601.4215210075104,-1601.4215210075104,-1601.4215210075104,-1601.4215210075104,-1601.4215210075104,-1601.4215210075104
560,-10000.358020679709,-1666.7263367799508,-1666.7263367799508,-1666.7263367799508,-1666.7263367799508,-1666.7263367799508,-1666.7263367799508
570,-9685.699064636865,-1614.2831774394783,-1614.2831774394783,-1614.2831774394783,-1614.2831774394783,-1614.2831774394783,-1614.2831774394783
580,-10011.995708031758,-1668.6659513386262,-1668.6659513386262,-1668.6659513386262,-1668.6659513386262,-1668.6659513386262,-1668.6659513386262
590,-9919.90269887723,-1653.3171164795397,-1653.3171164795397,-1653.3171164795397,-1653.3171164795397,-1653.3171164795397,-1653.3171164795397
600,-9855.157835500499,-1642.5263059167514,-1642.5263059167514,-1642.5263059167514,-1642.5263059167514,-1642.5263059167514,-1642.5263059167514
610,-10639.963291349943,-1773.3272152249913,-1773.3272152249913,-1773.3272152249913,-1773.3272152249913,-1773.3272152249913,-1773.3272152249913
620,-10559.392497352123,-1759.8987495586857,-1759.8987495586857,-1759.8987495586857,-1759.8987495586857,-1759.8987495586857,-1759.8987495586857
630,-10854.664121047794,-1809.1106868412971,-1809.1106868412971,-1809.1106868412971,-1809.1106868412971,-1809.1106868412971,-1809.1106868412971
640,-9787.386811078357,-1631.231135179727,-1631.231135179727,-1631.231135179727,-1631.231135179727,-1631.231135179727,-1631.231135179727
650,-10098.691295069362,-1683.1152158448942,-1683.1152158448942,-1683.1152158448942,-1683.1152158448942,-1683.1152158448942,-1683.1152158448942
660,-10741.599060707818,-1790.26651011797,-1790.26651011797,-1790.26651011797,-1790.26651011797,-1790.26651011797,-1790.26651011797
670,-10249.320241784668,-1708.2200402974445,-1708.2200402974445,-1708.2200402974445,-1708.2200402974445,-1708.2200402974445,-1708.2200402974445
680,-10647.945946666041,-1774.6576577776734,-1774.6576577776734,-1774.6576577776734,-1774.6576577776734,-1774.6576577776734,-1774.6576577776734
690,-10671.92915394161,-1778.6548589902698,-1778.6548589902698,-1778.6548589902698,-1778.6548589902698,-1778.6548589902698,-1778.6548589902698
700,-10826.589483261807,-1804.4315805436352,-1804.4315805436352,-1804.4315805436352,-1804.4315805436352,-1804.4315805436352,-1804.4315805436352
710,-10912.961758950038,-1818.8269598250076,-1818.8269598250076,-1818.8269598250076,-1818.8269598250076,-1818.8269598250076,-1818.8269598250076
720,-10556.788352708752,-1759.464725451461,-1759.464725451461,-1759.464725451461,-1759.464725451461,-1759.464725451461,-1759.464725451461
