episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-110541.71654128237,-18423.619423547076,-18423.619423547076,-18423.619423547076,-18423.619423547076,-18423.619423547076,-18423.619423547076
20,-102440.38562916956,-17073.397604861595,-17073.397604861595,-17073.397604861595,-17073.397604861595,-17073.397604861595,-17073.397604861595
30,-115972.32793176376,-19328.721321960613,-19328.721321960613,-19328.721321960613,-19328.721321960613,-19328.721321960613,-19328.721321960613
40,-110545.31720992268,-18424.219534987133,-18424.219534987133,-18424.219534987133,-18424.219534987133,-18424.219534987133,-18424.219534987133
