episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-41448.7717881922,-6908.128631365367,-6908.128631365367,-6908.128631365367,-6908.128631365367,-6908.128631365367,-6908.128631365367
20,-29172.03949916084,-4862.00658319347,-4862.00658319347,-4862.00658319347,-4862.00658319347,-4862.00658319347,-4862.00658319347
30,-29982.279337995646,-4997.046556332602,-4997.046556332602,-4997.046556332602,-4997.046556332602,-4997.046556332602,-4997.046556332602
40,-30162.119875133452,-5027.019979188907,-5027.019979188907,-5027.019979188907,-5027.019979188907,-5027.019979188907,-5027.019979188907
50,-27949.011533611192,-4658.168588935199,-4658.168588935199,-4658.168588935199,-4658.168588935199,-4658.168588935199,-4658.168588935199
60,-31652.32098861711,-5275.386831436192,-5275.386831436192,-5275.386831436192,-5275.386831436192,-5275.386831436192,-5275.386831436192
70,-28682.571102412418,-4780.428517068731,-4780.428517068731,-4780.428517068731,-4780.428517068731,-4780.428517068731,-4780.428517068731
