episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-38016.33022044095,-6336.055036740159,-6336.055036740159,-6336.055036740159,-6336.055036740159,-6336.055036740159,-6336.055036740159
20,-39345.706735619315,-6557.6177892698815,-6557.6177892698815,-6557.6177892698815,-6557.6177892698815,-6557.6177892698815,-6557.6177892698815
30,-32803.6728882075,-5467.2788147012525,-5467.2788147012525,-5467.2788147012525,-5467.2788147012525,-5467.2788147012525,-5467.2788147012525
40,-31444.59740446803,-5240.766234078006,-5240.766234078006,-5240.766234078006,-5240.766234078006,-5240.766234078006,-5240.766234078006
50,-26845.30048434995,-4474.21674739166,-4474.21674739166,-4474.21674739166,-4474.21674739166,-4474.21674739166,-4474.21674739166
60,-28804.71651033312,-4800.786085055517,-4800.786085055517,-4800.786085055517,-4800.786085055517,-4800.786085055517,-4800.786085055517
70,-32610.157032011826,-5435.026172001972,-5435.026172001972,-5435.026172001972,-5435.026172001972,-5435.026172001972,-5435.026172001972
80,-36073.357728481344,-6012.226288080227,-6012.226288080227,-6012.226288080227,-6012.226288080227,-6012.226288080227,-6012.226288080227
90,-37437.83017356334,-6239.63836226056,-6239.63836226056,-6239.63836226056,-6239.63836226056,-6239.63836226056,-6239.63836226056
100,-36979.7905817078,-6163.2984302846335,-6163.2984302846335,-6163.2984302846335,-6163.2984302846335,-6163.2984302846335,-6163.2984302846335
110,-39846.48772583426,-6641.0812876390455,-6641.0812876390455,-6641.0812876390455,-6641.0812876390455,-6641.0812876390455,-6641.0812876390455
120,-40841.66887911074,-6806.944813185129,-6806.944813185129,-6806.944813185129,-6806.944813185129,-6806.944813185129,-6806.944813185129
130,-42966.44137318283,-7161.073562197144,-7161.073562197144,-7161.073562197144,-7161.073562197144,-7161.073562197144,-7161.073562197144
140,-45117.59496576316,-7519.599160960528,-7519.599160960528,-7519.599160960528,-7519.599160960528,-7519.599160960528,-7519.599160960528
150,-46023.52701989402,-7670.587836649002,-7670.587836649002,-7670.587836649002,-7670.587836649002,-7670.587836649002,-7670.587836649002
160,-47663.01644402662,-7943.836074004435,-7943.836074004435,-7943.836074004435,-7943.836074004435,-7943.836074004435,-7943.836074004435
170,-48703.86389628801,-8117.310649381342,-8117.310649381342,-8117.310649381342,-8117.310649381342,-8117.310649381342,-8117.310649381342
180,-50760.410988046075,-8460.068498007686,-8460.068498007686,-8460.068498007686,-8460.068498007686,-8460.068498007686,-8460.068498007686
190,-53922.798011195984,-8987.133001866005,-8987.133001866005,-8987.133001866005,-8987.133001866005,-8987.133001866005,-8987.133001866005
200,-57549.06218799113,-9591.510364665195,-9591.510364665195,-9591.510364665195,-9591.510364665195,-9591.510364665195,-9591.510364665195
210,-59078.27899936705,-9846.379833227844,-9846.379833227844,-9846.379833227844,-9846.379833227844,-9846.379833227844,-9846.379833227844
220,-59788.20504912183,-9964.700841520302,-9964.700841520302,-9964.700841520302,-9964.700841520302,-9964.700841520302,-9964.700841520302
