episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-17541.668644619494,-2923.611440769915,-2923.611440769915,-2923.611440769915,-2923.611440769915,-2923.611440769915,-2923.611440769915
20,-43069.648511415966,-7178.27475190267,-7178.27475190267,-7178.27475190267,-7178.27475190267,-7178.27475190267,-7178.27475190267
30,-24082.682358698697,-4013.7803931164476,-4013.7803931164476,-4013.7803931164476,-4013.7803931164476,-4013.7803931164476,-4013.7803931164476
40,-26361.401224149486,-4393.566870691582,-4393.566870691582,-4393.566870691582,-4393.566870691582,-4393.566870691582,-4393.566870691582
50,-28235.682900918717,-4705.947150153121,-4705.947150153121,-4705.947150153121,-4705.947150153121,-4705.947150153121,-4705.947150153121
60,-28561.336060663212,-4760.222676777203,-4760.222676777203,-4760.222676777203,-4760.222676777203,-4760.222676777203,-4760.222676777203
70,-30269.216221816267,-5044.869370302711,-5044.869370302711,-5044.869370302711,-5044.869370302711,-5044.869370302711,-5044.869370302711
80,-32789.06903949827,-5464.844839916379,-5464.844839916379,-5464.844839916379,-5464.844839916379,-5464.844839916379,-5464.844839916379
90,-32181.392949217843,-5363.565491536304,-5363.565491536304,-5363.565491536304,-5363.565491536304,-5363.565491536304,-5363.565491536304
100,-31020.7119739609,-5170.118662326816,-5170.118662326816,-5170.118662326816,-5170.118662326816,-5170.118662326816,-5170.118662326816
110,-32527.564546395886,-5421.260757732649,-5421.260757732649,-5421.260757732649,-5421.260757732649,-5421.260757732649,-5421.260757732649
120,-32055.746966893483,-5342.624494482245,-5342.624494482245,-5342.624494482245,-5342.624494482245,-5342.624494482245,-5342.624494482245
130,-32271.995944720333,-5378.665990786725,-5378.665990786725,-5378.665990786725,-5378.665990786725,-5378.665990786725,-5378.665990786725
140,-31772.514996780752,-5295.419166130125,-5295.419166130125,-5295.419166130125,-5295.419166130125,-5295.419166130125,-5295.419166130125
150,-32830.81093879813,-5471.801823133022,-5471.801823133022,-5471.801823133022,-5471.801823133022,-5471.801823133022,-5471.801823133022
160,-32580.389594833123,-5430.064932472188,-5430.064932472188,-5430.064932472188,-5430.064932472188,-5430.064932472188,-5430.064932472188
170,-33054.57664358326,-5509.09610726388,-5509.09610726388,-5509.09610726388,-5509.09610726388,-5509.09610726388,-5509.09610726388
180,-31531.235386258813,-5255.205897709801,-5255.205897709801,-5255.205897709801,-5255.205897709801,-5255.205897709801,-5255.205897709801
