episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-15622.985438040045,-2603.830906340008,-2603.830906340008,-2603.830906340008,-2603.830906340008,-2603.830906340008,-2603.830906340008
20,-22183.259017238564,-3697.2098362064266,-3697.2098362064266,-3697.2098362064266,-3697.2098362064266,-3697.2098362064266,-3697.2098362064266
30,-10641.879891087105,-1773.6466485145168,-1773.6466485145168,-1773.6466485145168,-1773.6466485145168,-1773.6466485145168,-1773.6466485145168
40,-10636.142930409731,-1772.6904884016208,-1772.6904884016208,-1772.6904884016208,-1772.6904884016208,-1772.6904884016208,-1772.6904884016208
50,-15169.885990792774,-2528.3143317987947,-2528.3143317987947,-2528.3143317987947,-2528.3143317987947,-2528.3143317987947,-2528.3143317987947
60,-16994.278735412085,-2832.3797892353464,-2832.3797892353464,-2832.3797892353464,-2832.3797892353464,-2832.3797892353464,-2832.3797892353464
70,-13110.640181000534,-2185.1066968334226,-2185.1066968334226,-2185.1066968334226,-2185.1066968334226,-2185.1066968334226,-2185.1066968334226
80,-13318.232596442851,-2219.705432740476,-2219.705432740476,-2219.705432740476,-2219.705432740476,-2219.705432740476,-2219.705432740476
90,-12999.491350363662,-2166.581891727278,-2166.581891727278,-2166.581891727278,-2166.581891727278,-2166.581891727278,-2166.581891727278
100,-12341.20758677838,-2056.8679311297296,-2056.8679311297296,-2056.8679311297296,-2056.8679311297296,-2056.8679311297296,-2056.8679311297296
110,-11927.692245779876,-1987.94870762998,-1987.94870762998,-1987.94870762998,-1987.94870762998,-1987.94870762998,-1987.94870762998
120,-11462.301511360665,-1910.3835852267778,-1910.3835852267778,-1910.3835852267778,-1910.3835852267778,-1910.3835852267778,-1910.3835852267778
130,-11736.7679195594,-1956.1279865932338,-1956.1279865932338,-1956.1279865932338,-1956.1279865932338,-1956.1279865932338,-1956.1279865932338
140,-10985.62726448299,-1830.9378774138331,-1830.9378774138331,-1830.9378774138331,-1830.9378774138331,-1830.9378774138331,-1830.9378774138331
150,-10893.01244062475,-1815.5020734374589,-1815.5020734374589,-1815.5020734374589,-1815.5020734374589,-1815.5020734374589,-1815.5020734374589
160,-11085.168518095912,-1847.5280863493172,-1847.5280863493172,-1847.5280863493172,-1847.5280863493172,-1847.5280863493172,-1847.5280863493172
170,-10638.011509204734,-1773.0019182007898,-1773.0019182007898,-1773.0019182007898,-1773.0019182007898,-1773.0019182007898,-1773.0019182007898
180,-11463.396174273676,-1910.5660290456133,-1910.5660290456133,-1910.5660290456133,-1910.5660290456133,-1910.5660290456133,-1910.5660290456133
