episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-22111.163423879865,-3685.1939039799763,-3685.1939039799763,-3685.1939039799763,-3685.1939039799763,-3685.1939039799763,-3685.1939039799763
20,-24678.806074732605,-4113.134345788771,-4113.134345788771,-4113.134345788771,-4113.134345788771,-4113.134345788771,-4113.134345788771
30,-11125.434883228681,-1854.2391472047798,-1854.2391472047798,-1854.2391472047798,-1854.2391472047798,-1854.2391472047798,-1854.2391472047798
40,-8984.689432959873,-1497.448238826645,-1497.448238826645,-1497.448238826645,-1497.448238826645,-1497.448238826645,-1497.448238826645
50,-10543.396145973446,-1757.232690995574,-1757.232690995574,-1757.232690995574,-1757.232690995574,-1757.232690995574,-1757.232690995574
60,-11431.553469757173,-1905.2589116261947,-1905.2589116261947,-1905.2589116261947,-1905.2589116261947,-1905.2589116261947,-1905.2589116261947
70,-9174.027199973005,-1529.004533328835,-1529.004533328835,-1529.004533328835,-1529.004533328835,-1529.004533328835,-1529.004533328835
80,-10120.060473632984,-1686.676745605496,-1686.676745605496,-1686.676745605496,-1686.676745605496,-1686.676745605496,-1686.676745605496
90,-12231.019100944482,-2038.5031834907481,-2038.5031834907481,-2038.5031834907481,-2038.5031834907481,-2038.5031834907481,-2038.5031834907481
100,-18109.155754941312,-3018.192625823552,-3018.192625823552,-3018.192625823552,-3018.192625823552,-3018.192625823552,-3018.192625823552
110,-19911.482516075375,-3318.580419345896,-3318.580419345896,-3318.580419345896,-3318.580419345896,-3318.580419345896,-3318.580419345896
120,-23241.931846935673,-3873.6553078226125,-3873.6553078226125,-3873.6553078226125,-3873.6553078226125,-3873.6553078226125,-3873.6553078226125
130,-31143.077765000293,-5190.512960833381,-5190.512960833381,-5190.512960833381,-5190.512960833381,-5190.512960833381,-5190.512960833381
140,-21525.999576141894,-3587.6665960236505,-3587.6665960236505,-3587.6665960236505,-3587.6665960236505,-3587.6665960236505,-3587.6665960236505
150,-19826.112199287418,-3304.3520332145736,-3304.3520332145736,-3304.3520332145736,-3304.3520332145736,-3304.3520332145736,-3304.3520332145736
160,-27840.325794684468,-4640.054299114077,-4640.054299114077,-4640.054299114077,-4640.054299114077,-4640.054299114077,-4640.054299114077
170,-16523.83753923406,-2753.972923205675,-2753.972923205675,-2753.972923205675,-2753.972923205675,-2753.972923205675,-2753.972923205675
180,-14775.081942484583,-2462.513657080764,-2462.513657080764,-2462.513657080764,-2462.513657080764,-2462.513657080764,-2462.513657080764
190,-17991.228512419933,-2998.538085403323,-2998.538085403323,-2998.538085403323,-2998.538085403323,-2998.538085403323,-2998.538085403323
200,-14348.558771393695,-2391.4264618989496,-2391.4264618989496,-2391.4264618989496,-2391.4264618989496,-2391.4264618989496,-2391.4264618989496
210,-24733.265117984065,-4122.210852997343,-4122.210852997343,-4122.210852997343,-4122.210852997343,-4122.210852997343,-4122.210852997343
220,-16902.745214698847,-2817.124202449807,-2817.124202449807,-2817.124202449807,-2817.124202449807,-2817.124202449807,-2817.124202449807
230,-29036.77876671689,-4839.463127786148,-4839.463127786148,-4839.463127786148,-4839.463127786148,-4839.463127786148,-4839.463127786148
240,-22403.77491372468,-3733.9624856207797,-3733.9624856207797,-3733.9624856207797,-3733.9624856207797,-3733.9624856207797,-3733.9624856207797
250,-18242.71737458095,-3040.452895763492,-3040.452895763492,-3040.452895763492,-3040.452895763492,-3040.452895763492,-3040.452895763492
260,-15567.478532782265,-2594.579755463711,-2594.579755463711,-2594.579755463711,-2594.579755463711,-2594.579755463711,-2594.579755463711
270,-16735.37088740754,-2789.228481234589,-2789.228481234589,-2789.228481234589,-2789.228481234589,-2789.228481234589,-2789.228481234589
280,-16564.293355282112,-2760.715559213687,-2760.715559213687,-2760.715559213687,-2760.715559213687,-2760.715559213687,-2760.715559213687
290,-18033.71070565126,-3005.618450941875,-3005.618450941875,-3005.618450941875,-3005.618450941875,-3005.618450941875,-3005.618450941875
300,-17826.30184135936,-2971.0503068932258,-2971.0503068932258,-2971.0503068932258,-2971.0503068932258,-2971.0503068932258,-2971.0503068932258
310,-16803.60342520402,-2800.6005708673374,-2800.6005708673374,-2800.6005708673374,-2800.6005708673374,-2800.6005708673374,-2800.6005708673374
320,-19749.595483679987,-3291.599247279998,-3291.599247279998,-3291.599247279998,-3291.599247279998,-3291.599247279998,-3291.599247279998
330,-18048.076782671393,-3008.0127971118973,-3008.0127971118973,-3008.0127971118973,-3008.0127971118973,-3008.0127971118973,-3008.0127971118973
340,-15180.669754479924,-2530.1116257466538,-2530.1116257466538,-2530.1116257466538,-2530.1116257466538,-2530.1116257466538,-2530.1116257466538
350,-18764.945527459568,-3127.490921243261,-3127.490921243261,-3127.490921243261,-3127.490921243261,-3127.490921243261,-3127.490921243261
360,-18411.25128728321,-3068.5418812138682,-3068.5418812138682,-3068.5418812138682,-3068.5418812138682,-3068.5418812138682,-3068.5418812138682
370,-18599.912012793477,-3099.98533546558,-3099.98533546558,-3099.98533546558,-3099.98533546558,-3099.98533546558,-3099.98533546558
380,-19394.893165704456,-3232.4821942840777,-3232.4821942840777,-3232.4821942840777,-3232.4821942840777,-3232.4821942840777,-3232.4821942840777
390,-19006.51946614701,-3167.7532443578325,-3167.7532443578325,-3167.7532443578325,-3167.7532443578325,-3167.7532443578325,-3167.7532443578325
