episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
365,-27506.98140801413,-4584.496901335688,-4584.496901335688,-4584.496901335688,-4584.496901335688,-4584.496901335688,-4584.496901335688
730,-28491.62884055323,-4748.60480675887,-4748.60480675887,-4748.60480675887,-4748.60480675887,-4748.60480675887,-4748.60480675887
1095,-29463.414505691602,-4910.569084281934,-4910.569084281934,-4910.569084281934,-4910.569084281934,-4910.569084281934,-4910.569084281934
1460,-29125.24596436101,-4854.207660726835,-4854.207660726835,-4854.207660726835,-4854.207660726835,-4854.207660726835,-4854.207660726835
