episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-68349.65066947552,-11391.60844491259,-11391.60844491259,-11391.60844491259,-11391.60844491259,-11391.60844491259,-11391.60844491259
20,-69402.5257106189,-11567.087618436495,-11567.087618436495,-11567.087618436495,-11567.087618436495,-11567.087618436495,-11567.087618436495
30,-72512.9907554544,-12085.498459242397,-12085.498459242397,-12085.498459242397,-12085.498459242397,-12085.498459242397,-12085.498459242397
40,-70533.80920798983,-11755.634867998317,-11755.634867998317,-11755.634867998317,-11755.634867998317,-11755.634867998317,-11755.634867998317
