episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-23711.83532840761,-3951.9725547345965,-3951.9725547345965,-3951.9725547345965,-3951.9725547345965,-3951.9725547345965,-3951.9725547345965
20,-52549.55322050191,-8758.25887008365,-8758.25887008365,-8758.25887008365,-8758.25887008365,-8758.25887008365,-8758.25887008365
30,-25641.37199450279,-4273.561999083802,-4273.561999083802,-4273.561999083802,-4273.561999083802,-4273.561999083802,-4273.561999083802
40,-25577.96064578884,-4262.993440964806,-4262.993440964806,-4262.993440964806,-4262.993440964806,-4262.993440964806,-4262.993440964806
50,-14236.547503547099,-2372.7579172578507,-2372.7579172578507,-2372.7579172578507,-2372.7579172578507,-2372.7579172578507,-2372.7579172578507
