episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-17512.54141955432,-2918.7569032590536,-2918.7569032590536,-2918.7569032590536,-2918.7569032590536,-2918.7569032590536,-2918.7569032590536
20,-19567.01705865538,-3261.1695097758957,-3261.1695097758957,-3261.1695097758957,-3261.1695097758957,-3261.1695097758957,-3261.1695097758957
30,-21102.141307832495,-3517.0235513054154,-3517.0235513054154,-3517.0235513054154,-3517.0235513054154,-3517.0235513054154,-3517.0235513054154
40,-20418.1886065629,-3403.031434427151,-3403.031434427151,-3403.031434427151,-3403.031434427151,-3403.031434427151,-3403.031434427151
50,-26633.372965597508,-4438.895494266251,-4438.895494266251,-4438.895494266251,-4438.895494266251,-4438.895494266251,-4438.895494266251
60,-26478.199590290238,-4413.033265048372,-4413.033265048372,-4413.033265048372,-4413.033265048372,-4413.033265048372,-4413.033265048372
70,-31868.21569962923,-5311.36928327154,-5311.36928327154,-5311.36928327154,-5311.36928327154,-5311.36928327154,-5311.36928327154
80,-31125.79896829648,-5187.633161382751,-5187.633161382751,-5187.633161382751,-5187.633161382751,-5187.633161382751,-5187.633161382751
90,-31435.136157577323,-5239.18935959622,-5239.18935959622,-5239.18935959622,-5239.18935959622,-5239.18935959622,-5239.18935959622
100,-30837.64935857589,-5139.608226429318,-5139.608226429318,-5139.608226429318,-5139.608226429318,-5139.608226429318,-5139.608226429318
110,-30492.965285492694,-5082.160880915451,-5082.160880915451,-5082.160880915451,-5082.160880915451,-5082.160880915451,-5082.160880915451
120,-31503.971263559837,-5250.661877259974,-5250.661877259974,-5250.661877259974,-5250.661877259974,-5250.661877259974,-5250.661877259974
130,-25697.50002946989,-4282.916671578315,-4282.916671578315,-4282.916671578315,-4282.916671578315,-4282.916671578315,-4282.916671578315
140,-23519.10233193069,-3919.8503886551175,-3919.8503886551175,-3919.8503886551175,-3919.8503886551175,-3919.8503886551175,-3919.8503886551175
150,-23892.293219223568,-3982.0488698705944,-3982.0488698705944,-3982.0488698705944,-3982.0488698705944,-3982.0488698705944,-3982.0488698705944
160,-23641.988174798877,-3940.3313624664797,-3940.3313624664797,-3940.3313624664797,-3940.3313624664797,-3940.3313624664797,-3940.3313624664797
170,-23938.344200830576,-3989.724033471767,-3989.724033471767,-3989.724033471767,-3989.724033471767,-3989.724033471767,-3989.724033471767
180,-24873.54457116988,-4145.590761861649,-4145.590761861649,-4145.590761861649,-4145.590761861649,-4145.590761861649,-4145.590761861649
