episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-102540.53294103121,-17090.0888235052,-17090.0888235052,-17090.0888235052,-17090.0888235052,-17090.0888235052,-17090.0888235052
20,-87681.63389791633,-14613.605649652727,-14613.605649652727,-14613.605649652727,-14613.605649652727,-14613.605649652727,-14613.605649652727
30,-84762.14485264792,-14127.02414210801,-14127.02414210801,-14127.02414210801,-14127.02414210801,-14127.02414210801,-14127.02414210801
40,-84581.89023014726,-14096.981705024542,-14096.981705024542,-14096.981705024542,-14096.981705024542,-14096.981705024542,-14096.981705024542
