episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-40676.61061432433,-6779.435102387391,-6779.435102387391,-6779.435102387391,-6779.435102387391,-6779.435102387391,-6779.435102387391
20,-38157.51863865378,-6359.5864397756295,-6359.5864397756295,-6359.5864397756295,-6359.5864397756295,-6359.5864397756295,-6359.5864397756295
30,-34687.74755565275,-5781.291259275457,-5781.291259275457,-5781.291259275457,-5781.291259275457,-5781.291259275457,-5781.291259275457
40,-28205.042652632517,-4700.840442105421,-4700.840442105421,-4700.840442105421,-4700.840442105421,-4700.840442105421,-4700.840442105421
50,-28092.826137122553,-4682.137689520428,-4682.137689520428,-4682.137689520428,-4682.137689520428,-4682.137689520428,-4682.137689520428
60,-29829.280597221525,-4971.546766203589,-4971.546766203589,-4971.546766203589,-4971.546766203589,-4971.546766203589,-4971.546766203589
70,-29655.42780947207,-4942.571301578682,-4942.571301578682,-4942.571301578682,-4942.571301578682,-4942.571301578682,-4942.571301578682
80,-30392.272252384893,-5065.378708730817,-5065.378708730817,-5065.378708730817,-5065.378708730817,-5065.378708730817,-5065.378708730817
90,-28505.206372292276,-4750.867728715382,-4750.867728715382,-4750.867728715382,-4750.867728715382,-4750.867728715382,-4750.867728715382
100,-26927.055385365693,-4487.842564227616,-4487.842564227616,-4487.842564227616,-4487.842564227616,-4487.842564227616,-4487.842564227616
110,-26535.414129413675,-4422.569021568948,-4422.569021568948,-4422.569021568948,-4422.569021568948,-4422.569021568948,-4422.569021568948
120,-26015.4233903571,-4335.903898392846,-4335.903898392846,-4335.903898392846,-4335.903898392846,-4335.903898392846,-4335.903898392846
130,-26930.637478086304,-4488.439579681051,-4488.439579681051,-4488.439579681051,-4488.439579681051,-4488.439579681051,-4488.439579681051
140,-25433.37632924134,-4238.896054873553,-4238.896054873553,-4238.896054873553,-4238.896054873553,-4238.896054873553,-4238.896054873553
150,-26002.27304968679,-4333.712174947797,-4333.712174947797,-4333.712174947797,-4333.712174947797,-4333.712174947797,-4333.712174947797
160,-24584.603023045103,-4097.433837174185,-4097.433837174185,-4097.433837174185,-4097.433837174185,-4097.433837174185,-4097.433837174185
170,-24539.336675819923,-4089.8894459699886,-4089.8894459699886,-4089.8894459699886,-4089.8894459699886,-4089.8894459699886,-4089.8894459699886
180,-25831.70005426135,-4305.283342376891,-4305.283342376891,-4305.283342376891,-4305.283342376891,-4305.283342376891,-4305.283342376891
190,-25599.15414764777,-4266.52569127463,-4266.52569127463,-4266.52569127463,-4266.52569127463,-4266.52569127463,-4266.52569127463
200,-23726.213289794872,-3954.3688816324793,-3954.3688816324793,-3954.3688816324793,-3954.3688816324793,-3954.3688816324793,-3954.3688816324793
210,-24709.042776182432,-4118.1737960304035,-4118.1737960304035,-4118.1737960304035,-4118.1737960304035,-4118.1737960304035,-4118.1737960304035
220,-24946.2541378284,-4157.709022971402,-4157.709022971402,-4157.709022971402,-4157.709022971402,-4157.709022971402,-4157.709022971402
230,-28131.009381317574,-4688.501563552931,-4688.501563552931,-4688.501563552931,-4688.501563552931,-4688.501563552931,-4688.501563552931
240,-23336.48528413275,-3889.4142140221256,-3889.4142140221256,-3889.4142140221256,-3889.4142140221256,-3889.4142140221256,-3889.4142140221256
250,-25878.163199192604,-4313.027199865435,-4313.027199865435,-4313.027199865435,-4313.027199865435,-4313.027199865435,-4313.027199865435
260,-24143.474592808674,-4023.9124321347786,-4023.9124321347786,-4023.9124321347786,-4023.9124321347786,-4023.9124321347786,-4023.9124321347786
270,-24889.564309909943,-4148.2607183183245,-4148.2607183183245,-4148.2607183183245,-4148.2607183183245,-4148.2607183183245,-4148.2607183183245
280,-23287.675396666982,-3881.279232777832,-3881.279232777832,-3881.279232777832,-3881.279232777832,-3881.279232777832,-3881.279232777832
290,-25042.72151464373,-4173.786919107288,-4173.786919107288,-4173.786919107288,-4173.786919107288,-4173.786919107288,-4173.786919107288
300,-25228.73427474085,-4204.789045790142,-4204.789045790142,-4204.789045790142,-4204.789045790142,-4204.789045790142,-4204.789045790142
310,-25912.873453893273,-4318.812242315546,-4318.812242315546,-4318.812242315546,-4318.812242315546,-4318.812242315546,-4318.812242315546
320,-25315.946915931247,-4219.324485988543,-4219.324485988543,-4219.324485988543,-4219.324485988543,-4219.324485988543,-4219.324485988543
330,-26437.660314648605,-4406.2767191081,-4406.2767191081,-4406.2767191081,-4406.2767191081,-4406.2767191081,-4406.2767191081
340,-27003.08043143025,-4500.513405238373,-4500.513405238373,-4500.513405238373,-4500.513405238373,-4500.513405238373,-4500.513405238373
350,-26146.24876023821,-4357.708126706371,-4357.708126706371,-4357.708126706371,-4357.708126706371,-4357.708126706371,-4357.708126706371
360,-27220.06600436572,-4536.677667394289,-4536.677667394289,-4536.677667394289,-4536.677667394289,-4536.677667394289,-4536.677667394289
370,-25895.11367794257,-4315.852279657093,-4315.852279657093,-4315.852279657093,-4315.852279657093,-4315.852279657093,-4315.852279657093
380,-26008.80559001964,-4334.800931669942,-4334.800931669942,-4334.800931669942,-4334.800931669942,-4334.800931669942,-4334.800931669942
390,-26947.52899575635,-4491.254832626058,-4491.254832626058,-4491.254832626058,-4491.254832626058,-4491.254832626058,-4491.254832626058
400,-26947.648244936012,-4491.274707489332,-4491.274707489332,-4491.274707489332,-4491.274707489332,-4491.274707489332,-4491.274707489332
410,-27465.052500025737,-4577.508750004288,-4577.508750004288,-4577.508750004288,-4577.508750004288,-4577.508750004288,-4577.508750004288
420,-26418.01426418657,-4403.002377364424,-4403.002377364424,-4403.002377364424,-4403.002377364424,-4403.002377364424,-4403.002377364424
430,-26882.865920235337,-4480.477653372559,-4480.477653372559,-4480.477653372559,-4480.477653372559,-4480.477653372559,-4480.477653372559
440,-28595.137979914027,-4765.856329985674,-4765.856329985674,-4765.856329985674,-4765.856329985674,-4765.856329985674,-4765.856329985674
450,-29722.337371380017,-4953.722895230006,-4953.722895230006,-4953.722895230006,-4953.722895230006,-4953.722895230006,-4953.722895230006
460,-28114.608568163105,-4685.768094693848,-4685.768094693848,-4685.768094693848,-4685.768094693848,-4685.768094693848,-4685.768094693848
470,-27130.25911038873,-4521.7098517314525,-4521.7098517314525,-4521.7098517314525,-4521.7098517314525,-4521.7098517314525,-4521.7098517314525
480,-27997.175854141748,-4666.195975690289,-4666.195975690289,-4666.195975690289,-4666.195975690289,-4666.195975690289,-4666.195975690289
490,-25935.042027861607,-4322.507004643603,-4322.507004643603,-4322.507004643603,-4322.507004643603,-4322.507004643603,-4322.507004643603
500,-27038.080403412627,-4506.346733902104,-4506.346733902104,-4506.346733902104,-4506.346733902104,-4506.346733902104,-4506.346733902104
