episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-124850.40065462995,-20808.400109104976,-20808.400109104976,-20808.400109104976,-20808.400109104976,-20808.400109104976,-20808.400109104976
20,-124618.97588142252,-20769.82931357041,-20769.82931357041,-20769.82931357041,-20769.82931357041,-20769.82931357041,-20769.82931357041
30,-138483.30056182347,-23080.550093637252,-23080.550093637252,-23080.550093637252,-23080.550093637252,-23080.550093637252,-23080.550093637252
40,-131148.337698299,-21858.05628304981,-21858.05628304981,-21858.05628304981,-21858.05628304981,-21858.05628304981,-21858.05628304981
50,-145474.5284821125,-24245.75474701878,-24245.75474701878,-24245.75474701878,-24245.75474701878,-24245.75474701878,-24245.75474701878
60,-146598.5559304966,-24433.092655082746,-24433.092655082746,-24433.092655082746,-24433.092655082746,-24433.092655082746,-24433.092655082746
70,-147023.00198806773,-24503.833664677957,-24503.833664677957,-24503.833664677957,-24503.833664677957,-24503.833664677957,-24503.833664677957
80,-151581.55459008683,-25263.59243168116,-25263.59243168116,-25263.59243168116,-25263.59243168116,-25263.59243168116,-25263.59243168116
90,-152814.7183782191,-25469.119729703176,-25469.119729703176,-25469.119729703176,-25469.119729703176,-25469.119729703176,-25469.119729703176
