episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-23301.839986569208,-3883.6399977615392,-3883.6399977615392,-3883.6399977615392,-3883.6399977615392,-3883.6399977615392,-3883.6399977615392
20,-8959.170308762454,-1493.1950514604082,-1493.1950514604082,-1493.1950514604082,-1493.1950514604082,-1493.1950514604082,-1493.1950514604082
30,-14654.850004920974,-2442.4750008201636,-2442.4750008201636,-2442.4750008201636,-2442.4750008201636,-2442.4750008201636,-2442.4750008201636
40,-10532.829630760472,-1755.4716051267455,-1755.4716051267455,-1755.4716051267455,-1755.4716051267455,-1755.4716051267455,-1755.4716051267455
50,-16320.51526566979,-2720.085877611633,-2720.085877611633,-2720.085877611633,-2720.085877611633,-2720.085877611633,-2720.085877611633
60,-12182.374344259393,-2030.395724043232,-2030.395724043232,-2030.395724043232,-2030.395724043232,-2030.395724043232,-2030.395724043232
70,-17191.43923736596,-2865.239872894328,-2865.239872894328,-2865.239872894328,-2865.239872894328,-2865.239872894328,-2865.239872894328
80,-17241.21535022261,-2873.535891703768,-2873.535891703768,-2873.535891703768,-2873.535891703768,-2873.535891703768,-2873.535891703768
90,-22348.979226794985,-3724.829871132498,-3724.829871132498,-3724.829871132498,-3724.829871132498,-3724.829871132498,-3724.829871132498
100,-21314.950560163423,-3552.4917600272356,-3552.4917600272356,-3552.4917600272356,-3552.4917600272356,-3552.4917600272356,-3552.4917600272356
110,-21060.212433778295,-3510.035405629717,-3510.035405629717,-3510.035405629717,-3510.035405629717,-3510.035405629717,-3510.035405629717
120,-20940.03844024329,-3490.006406707215,-3490.006406707215,-3490.006406707215,-3490.006406707215,-3490.006406707215,-3490.006406707215
130,-20503.777532174667,-3417.2962553624443,-3417.2962553624443,-3417.2962553624443,-3417.2962553624443,-3417.2962553624443,-3417.2962553624443
140,-19419.775046191535,-3236.6291743652555,-3236.6291743652555,-3236.6291743652555,-3236.6291743652555,-3236.6291743652555,-3236.6291743652555
150,-20268.762019378344,-3378.127003229724,-3378.127003229724,-3378.127003229724,-3378.127003229724,-3378.127003229724,-3378.127003229724
160,-19917.76651400773,-3319.627752334619,-3319.627752334619,-3319.627752334619,-3319.627752334619,-3319.627752334619,-3319.627752334619
170,-19856.30790085973,-3309.384650143288,-3309.384650143288,-3309.384650143288,-3309.384650143288,-3309.384650143288,-3309.384650143288
