episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-38660.68821301845,-6443.448035503074,-6443.448035503074,-6443.448035503074,-6443.448035503074,-6443.448035503074,-6443.448035503074
20,-21563.044465901294,-3593.8407443168785,-3593.8407443168785,-3593.8407443168785,-3593.8407443168785,-3593.8407443168785,-3593.8407443168785
30,-21292.12214884108,-3548.6870248068467,-3548.6870248068467,-3548.6870248068467,-3548.6870248068467,-3548.6870248068467,-3548.6870248068467
40,-24028.47717448837,-4004.7461957480637,-4004.7461957480637,-4004.7461957480637,-4004.7461957480637,-4004.7461957480637,-4004.7461957480637
50,-29500.281523952774,-4916.713587325462,-4916.713587325462,-4916.713587325462,-4916.713587325462,-4916.713587325462,-4916.713587325462
60,-26557.46786024594,-4426.244643374323,-4426.244643374323,-4426.244643374323,-4426.244643374323,-4426.244643374323,-4426.244643374323
70,-29207.917080126856,-4867.986180021141,-4867.986180021141,-4867.986180021141,-4867.986180021141,-4867.986180021141,-4867.986180021141
