episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-36297.0075473046,-6049.501257884103,-6049.501257884103,-6049.501257884103,-6049.501257884103,-6049.501257884103,-6049.501257884103
20,-27770.48017365727,-4628.413362276211,-4628.413362276211,-4628.413362276211,-4628.413362276211,-4628.413362276211,-4628.413362276211
30,-33719.13567060881,-5619.855945101471,-5619.855945101471,-5619.855945101471,-5619.855945101471,-5619.855945101471,-5619.855945101471
40,-34814.99367937547,-5802.498946562579,-5802.498946562579,-5802.498946562579,-5802.498946562579,-5802.498946562579,-5802.498946562579
50,-37213.47305482363,-6202.245509137273,-6202.245509137273,-6202.245509137273,-6202.245509137273,-6202.245509137273,-6202.245509137273
60,-37044.350012953844,-6174.058335492309,-6174.058335492309,-6174.058335492309,-6174.058335492309,-6174.058335492309,-6174.058335492309
70,-39169.72256297678,-6528.287093829465,-6528.287093829465,-6528.287093829465,-6528.287093829465,-6528.287093829465,-6528.287093829465
80,-38522.65453189003,-6420.44242198167,-6420.44242198167,-6420.44242198167,-6420.44242198167,-6420.44242198167,-6420.44242198167
90,-40135.21483456802,-6689.202472428001,-6689.202472428001,-6689.202472428001,-6689.202472428001,-6689.202472428001,-6689.202472428001
100,-37851.817744212036,-6308.6362907020075,-6308.6362907020075,-6308.6362907020075,-6308.6362907020075,-6308.6362907020075,-6308.6362907020075
110,-34038.827017759,-5673.1378362931655,-5673.1378362931655,-5673.1378362931655,-5673.1378362931655,-5673.1378362931655,-5673.1378362931655
120,-34845.726071424775,-5807.62101190413,-5807.62101190413,-5807.62101190413,-5807.62101190413,-5807.62101190413,-5807.62101190413
130,-33555.230385700415,-5592.538397616731,-5592.538397616731,-5592.538397616731,-5592.538397616731,-5592.538397616731,-5592.538397616731
140,-32993.30526859133,-5498.884211431885,-5498.884211431885,-5498.884211431885,-5498.884211431885,-5498.884211431885,-5498.884211431885
150,-32778.590283455254,-5463.098380575875,-5463.098380575875,-5463.098380575875,-5463.098380575875,-5463.098380575875,-5463.098380575875
160,-33383.84134245778,-5563.973557076297,-5563.973557076297,-5563.973557076297,-5563.973557076297,-5563.973557076297,-5563.973557076297
170,-32533.00329602728,-5422.167216004548,-5422.167216004548,-5422.167216004548,-5422.167216004548,-5422.167216004548,-5422.167216004548
180,-32747.448246898643,-5457.9080411497725,-5457.9080411497725,-5457.9080411497725,-5457.9080411497725,-5457.9080411497725,-5457.9080411497725
190,-32374.481273896334,-5395.7468789827235,-5395.7468789827235,-5395.7468789827235,-5395.7468789827235,-5395.7468789827235,-5395.7468789827235
200,-33361.48454779298,-5560.247424632164,-5560.247424632164,-5560.247424632164,-5560.247424632164,-5560.247424632164,-5560.247424632164
210,-32230.40762620782,-5371.734604367965,-5371.734604367965,-5371.734604367965,-5371.734604367965,-5371.734604367965,-5371.734604367965
220,-32759.951356837515,-5459.9918928062525,-5459.9918928062525,-5459.9918928062525,-5459.9918928062525,-5459.9918928062525,-5459.9918928062525
230,-32708.799610893773,-5451.466601815626,-5451.466601815626,-5451.466601815626,-5451.466601815626,-5451.466601815626,-5451.466601815626
