episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-46423.50382072826,-7737.250636788047,-7737.250636788047,-7737.250636788047,-7737.250636788047,-7737.250636788047,-7737.250636788047
20,-57365.2901689773,-9560.881694829564,-9560.881694829564,-9560.881694829564,-9560.881694829564,-9560.881694829564,-9560.881694829564
30,-57357.971577562086,-9559.661929593673,-9559.661929593673,-9559.661929593673,-9559.661929593673,-9559.661929593673,-9559.661929593673
40,-60997.78692313959,-10166.297820523268,-10166.297820523268,-10166.297820523268,-10166.297820523268,-10166.297820523268,-10166.297820523268
50,-58869.99806338389,-9811.666343897306,-9811.666343897306,-9811.666343897306,-9811.666343897306,-9811.666343897306,-9811.666343897306
60,-57861.78851804366,-9643.63141967394,-9643.63141967394,-9643.63141967394,-9643.63141967394,-9643.63141967394,-9643.63141967394
70,-54268.758981484374,-9044.793163580734,-9044.793163580734,-9044.793163580734,-9044.793163580734,-9044.793163580734,-9044.793163580734
80,-56307.51706450392,-9384.586177417317,-9384.586177417317,-9384.586177417317,-9384.586177417317,-9384.586177417317,-9384.586177417317
90,-62800.20858228432,-10466.701430380725,-10466.701430380725,-10466.701430380725,-10466.701430380725,-10466.701430380725,-10466.701430380725
100,-58328.19798699615,-9721.366331166018,-9721.366331166018,-9721.366331166018,-9721.366331166018,-9721.366331166018,-9721.366331166018
110,-36307.792742157304,-6051.2987903595495,-6051.2987903595495,-6051.2987903595495,-6051.2987903595495,-6051.2987903595495,-6051.2987903595495
120,-45516.77088796935,-7586.128481328231,-7586.128481328231,-7586.128481328231,-7586.128481328231,-7586.128481328231,-7586.128481328231
130,-44648.377625212226,-7441.396270868705,-7441.396270868705,-7441.396270868705,-7441.396270868705,-7441.396270868705,-7441.396270868705
140,-48422.78016820054,-8070.463361366761,-8070.463361366761,-8070.463361366761,-8070.463361366761,-8070.463361366761,-8070.463361366761
