episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-17091.692784383853,-2848.615464063978,-2848.615464063978,-2848.615464063978,-2848.615464063978,-2848.615464063978,-2848.615464063978
20,-14274.229289312003,-2379.038214885332,-2379.038214885332,-2379.038214885332,-2379.038214885332,-2379.038214885332,-2379.038214885332
30,-22725.276099829432,-3787.54601663824,-3787.54601663824,-3787.54601663824,-3787.54601663824,-3787.54601663824,-3787.54601663824
40,-27863.25994793673,-4643.876657989457,-4643.876657989457,-4643.876657989457,-4643.876657989457,-4643.876657989457,-4643.876657989457
50,-22110.18436548307,-3685.030727580512,-3685.030727580512,-3685.030727580512,-3685.030727580512,-3685.030727580512,-3685.030727580512
60,-17824.74607748797,-2970.791012914661,-2970.791012914661,-2970.791012914661,-2970.791012914661,-2970.791012914661,-2970.791012914661
70,-19854.928374736268,-3309.15472912271,-3309.15472912271,-3309.15472912271,-3309.15472912271,-3309.15472912271,-3309.15472912271
80,-15787.513780899226,-2631.252296816538,-2631.252296816538,-2631.252296816538,-2631.252296816538,-2631.252296816538,-2631.252296816538
90,-16134.346187119361,-2689.0576978532254,-2689.0576978532254,-2689.0576978532254,-2689.0576978532254,-2689.0576978532254,-2689.0576978532254
100,-17449.864317347907,-2908.310719557986,-2908.310719557986,-2908.310719557986,-2908.310719557986,-2908.310719557986,-2908.310719557986
110,-20048.658467929847,-3341.4430779883055,-3341.4430779883055,-3341.4430779883055,-3341.4430779883055,-3341.4430779883055,-3341.4430779883055
120,-18103.286119440436,-3017.214353240074,-3017.214353240074,-3017.214353240074,-3017.214353240074,-3017.214353240074,-3017.214353240074
130,-16925.745477485976,-2820.957579580994,-2820.957579580994,-2820.957579580994,-2820.957579580994,-2820.957579580994,-2820.957579580994
140,-17291.816835527603,-2881.9694725879344,-2881.9694725879344,-2881.9694725879344,-2881.9694725879344,-2881.9694725879344,-2881.9694725879344
150,-14984.999865098429,-2497.499977516406,-2497.499977516406,-2497.499977516406,-2497.499977516406,-2497.499977516406,-2497.499977516406
160,-13610.377870742876,-2268.3963117904796,-2268.3963117904796,-2268.3963117904796,-2268.3963117904796,-2268.3963117904796,-2268.3963117904796
170,-13516.632015690964,-2252.772002615159,-2252.772002615159,-2252.772002615159,-2252.772002615159,-2252.772002615159,-2252.772002615159
180,-14130.525843279063,-2355.0876405465083,-2355.0876405465083,-2355.0876405465083,-2355.0876405465083,-2355.0876405465083,-2355.0876405465083
190,-11736.316361091782,-1956.05272684863,-1956.05272684863,-1956.05272684863,-1956.05272684863,-1956.05272684863,-1956.05272684863
200,-14343.369514924789,-2390.5615858207993,-2390.5615858207993,-2390.5615858207993,-2390.5615858207993,-2390.5615858207993,-2390.5615858207993
210,-13251.360126991558,-2208.56002116526,-2208.56002116526,-2208.56002116526,-2208.56002116526,-2208.56002116526,-2208.56002116526
220,-15558.414145027487,-2593.0690241712496,-2593.0690241712496,-2593.0690241712496,-2593.0690241712496,-2593.0690241712496,-2593.0690241712496
230,-16499.49677464749,-2749.916129107913,-2749.916129107913,-2749.916129107913,-2749.916129107913,-2749.916129107913,-2749.916129107913
240,-13787.913943439373,-2297.9856572398958,-2297.9856572398958,-2297.9856572398958,-2297.9856572398958,-2297.9856572398958,-2297.9856572398958
250,-14911.587162289405,-2485.264527048235,-2485.264527048235,-2485.264527048235,-2485.264527048235,-2485.264527048235,-2485.264527048235
260,-13428.931245964359,-2238.1552076607277,-2238.1552076607277,-2238.1552076607277,-2238.1552076607277,-2238.1552076607277,-2238.1552076607277
270,-13293.688724232226,-2215.6147873720347,-2215.6147873720347,-2215.6147873720347,-2215.6147873720347,-2215.6147873720347,-2215.6147873720347
280,-12617.88727758306,-2102.9812129305114,-2102.9812129305114,-2102.9812129305114,-2102.9812129305114,-2102.9812129305114,-2102.9812129305114
290,-11968.355217645187,-1994.7258696075328,-1994.7258696075328,-1994.7258696075328,-1994.7258696075328,-1994.7258696075328,-1994.7258696075328
300,-12175.6599081235,-2029.2766513539168,-2029.2766513539168,-2029.2766513539168,-2029.2766513539168,-2029.2766513539168,-2029.2766513539168
310,-11645.08413505098,-1940.8473558418289,-1940.8473558418289,-1940.8473558418289,-1940.8473558418289,-1940.8473558418289,-1940.8473558418289
320,-14912.232832223497,-2485.3721387039177,-2485.3721387039177,-2485.3721387039177,-2485.3721387039177,-2485.3721387039177,-2485.3721387039177
330,-14026.854973578045,-2337.809162263007,-2337.809162263007,-2337.809162263007,-2337.809162263007,-2337.809162263007,-2337.809162263007
340,-11384.840117332715,-1897.4733528887878,-1897.4733528887878,-1897.4733528887878,-1897.4733528887878,-1897.4733528887878,-1897.4733528887878
350,-12584.679647673747,-2097.4466079456242,-2097.4466079456242,-2097.4466079456242,-2097.4466079456242,-2097.4466079456242,-2097.4466079456242
360,-12320.168168563563,-2053.361361427261,-2053.361361427261,-2053.361361427261,-2053.361361427261,-2053.361361427261,-2053.361361427261
370,-12455.079971551264,-2075.84666192521,-2075.84666192521,-2075.84666192521,-2075.84666192521,-2075.84666192521,-2075.84666192521
380,-12496.61219846787,-2082.7686997446444,-2082.7686997446444,-2082.7686997446444,-2082.7686997446444,-2082.7686997446444,-2082.7686997446444
390,-12844.133732697763,-2140.6889554496256,-2140.6889554496256,-2140.6889554496256,-2140.6889554496256,-2140.6889554496256,-2140.6889554496256
400,-12856.254520638917,-2142.709086773152,-2142.709086773152,-2142.709086773152,-2142.709086773152,-2142.709086773152,-2142.709086773152
410,-11674.162719003632,-1945.6937865006032,-1945.6937865006032,-1945.6937865006032,-1945.6937865006032,-1945.6937865006032,-1945.6937865006032
420,-12115.350689456109,-2019.2251149093522,-2019.2251149093522,-2019.2251149093522,-2019.2251149093522,-2019.2251149093522,-2019.2251149093522
430,-14052.126111100137,-2342.02101851669,-2342.02101851669,-2342.02101851669,-2342.02101851669,-2342.02101851669,-2342.02101851669
440,-15358.859705200015,-2559.80995086667,-2559.80995086667,-2559.80995086667,-2559.80995086667,-2559.80995086667,-2559.80995086667
450,-11446.970584433064,-1907.8284307388458,-1907.8284307388458,-1907.8284307388458,-1907.8284307388458,-1907.8284307388458,-1907.8284307388458
460,-11555.091103153332,-1925.848517192222,-1925.848517192222,-1925.848517192222,-1925.848517192222,-1925.848517192222,-1925.848517192222
470,-12554.60764788785,-2092.434607981306,-2092.434607981306,-2092.434607981306,-2092.434607981306,-2092.434607981306,-2092.434607981306
480,-11730.129905886415,-1955.0216509810712,-1955.0216509810712,-1955.0216509810712,-1955.0216509810712,-1955.0216509810712,-1955.0216509810712
490,-12434.45483171878,-2072.409138619798,-2072.409138619798,-2072.409138619798,-2072.409138619798,-2072.409138619798,-2072.409138619798
500,-12322.298387171624,-2053.7163978619365,-2053.7163978619365,-2053.7163978619365,-2053.7163978619365,-2053.7163978619365,-2053.7163978619365
510,-12366.936657352297,-2061.156109558716,-2061.156109558716,-2061.156109558716,-2061.156109558716,-2061.156109558716,-2061.156109558716
520,-12019.170340637731,-2003.195056772955,-2003.195056772955,-2003.195056772955,-2003.195056772955,-2003.195056772955,-2003.195056772955
530,-12318.881907425373,-2053.146984570894,-2053.146984570894,-2053.146984570894,-2053.146984570894,-2053.146984570894,-2053.146984570894
540,-11962.268104829744,-1993.7113508049565,-1993.7113508049565,-1993.7113508049565,-1993.7113508049565,-1993.7113508049565,-1993.7113508049565
550,-12382.539217949887,-2063.7565363249805,-2063.7565363249805,-2063.7565363249805,-2063.7565363249805,-2063.7565363249805,-2063.7565363249805
560,-11706.867323143922,-1951.14455385732,-1951.14455385732,-1951.14455385732,-1951.14455385732,-1951.14455385732,-1951.14455385732
570,-12787.997785242198,-2131.332964207034,-2131.332964207034,-2131.332964207034,-2131.332964207034,-2131.332964207034,-2131.332964207034
580,-11962.646685059914,-1993.7744475099869,-1993.7744475099869,-1993.7744475099869,-1993.7744475099869,-1993.7744475099869,-1993.7744475099869
590,-11822.038818920246,-1970.3398031533743,-1970.3398031533743,-1970.3398031533743,-1970.3398031533743,-1970.3398031533743,-1970.3398031533743
600,-12712.464660687087,-2118.744110114517,-2118.744110114517,-2118.744110114517,-2118.744110114517,-2118.744110114517,-2118.744110114517
610,-12066.833102453846,-2011.1388504089732,-2011.1388504089732,-2011.1388504089732,-2011.1388504089732,-2011.1388504089732,-2011.1388504089732
620,-12081.195779130514,-2013.5326298550874,-2013.5326298550874,-2013.5326298550874,-2013.5326298550874,-2013.5326298550874,-2013.5326298550874
630,-12511.938205565202,-2085.323034260868,-2085.323034260868,-2085.323034260868,-2085.323034260868,-2085.323034260868,-2085.323034260868
640,-12732.595781992919,-2122.09929699882,-2122.09929699882,-2122.09929699882,-2122.09929699882,-2122.09929699882,-2122.09929699882
650,-11351.441779379093,-1891.9069632298463,-1891.9069632298463,-1891.9069632298463,-1891.9069632298463,-1891.9069632298463,-1891.9069632298463
660,-14004.539712777554,-2334.0899521295905,-2334.0899521295905,-2334.0899521295905,-2334.0899521295905,-2334.0899521295905,-2334.0899521295905
670,-12088.392666349966,-2014.7321110583293,-2014.7321110583293,-2014.7321110583293,-2014.7321110583293,-2014.7321110583293,-2014.7321110583293
680,-13506.866802608016,-2251.1444671013364,-2251.1444671013364,-2251.1444671013364,-2251.1444671013364,-2251.1444671013364,-2251.1444671013364
690,-12106.689694098033,-2017.7816156830056,-2017.7816156830056,-2017.7816156830056,-2017.7816156830056,-2017.7816156830056,-2017.7816156830056
700,-12839.60728652064,-2139.9345477534407,-2139.9345477534407,-2139.9345477534407,-2139.9345477534407,-2139.9345477534407,-2139.9345477534407
710,-12101.910076133823,-2016.985012688971,-2016.985012688971,-2016.985012688971,-2016.985012688971,-2016.985012688971,-2016.985012688971
720,-12684.980060638121,-2114.1633434396877,-2114.1633434396877,-2114.1633434396877,-2114.1633434396877,-2114.1633434396877,-2114.1633434396877
730,-12186.8490168138,-2031.1415028022996,-2031.1415028022996,-2031.1415028022996,-2031.1415028022996,-2031.1415028022996,-2031.1415028022996
740,-12008.393315432335,-2001.3988859053886,-2001.3988859053886,-2001.3988859053886,-2001.3988859053886,-2001.3988859053886,-2001.3988859053886
750,-12670.459480325724,-2111.7432467209537,-2111.7432467209537,-2111.7432467209537,-2111.7432467209537,-2111.7432467209537,-2111.7432467209537
760,-12391.82474495565,-2065.3041241592737,-2065.3041241592737,-2065.3041241592737,-2065.3041241592737,-2065.3041241592737,-2065.3041241592737
770,-12452.25638177127,-2075.3760636285433,-2075.3760636285433,-2075.3760636285433,-2075.3760636285433,-2075.3760636285433,-2075.3760636285433
780,-12380.926859686164,-2063.487809947695,-2063.487809947695,-2063.487809947695,-2063.487809947695,-2063.487809947695,-2063.487809947695
790,-12508.6088733471,-2084.7681455578504,-2084.7681455578504,-2084.7681455578504,-2084.7681455578504,-2084.7681455578504,-2084.7681455578504
800,-15422.529267937072,-2570.421544656178,-2570.421544656178,-2570.421544656178,-2570.421544656178,-2570.421544656178,-2570.421544656178
810,-13920.307706509848,-2320.051284418307,-2320.051284418307,-2320.051284418307,-2320.051284418307,-2320.051284418307,-2320.051284418307
820,-14320.035855806695,-2386.672642634449,-2386.672642634449,-2386.672642634449,-2386.672642634449,-2386.672642634449,-2386.672642634449
830,-15596.896650515508,-2599.4827750859176,-2599.4827750859176,-2599.4827750859176,-2599.4827750859176,-2599.4827750859176,-2599.4827750859176
840,-15828.45928053103,-2638.076546755173,-2638.076546755173,-2638.076546755173,-2638.076546755173,-2638.076546755173,-2638.076546755173
850,-15483.586027583762,-2580.5976712639635,-2580.5976712639635,-2580.5976712639635,-2580.5976712639635,-2580.5976712639635,-2580.5976712639635
860,-15582.867543828548,-2597.1445906380927,-2597.1445906380927,-2597.1445906380927,-2597.1445906380927,-2597.1445906380927,-2597.1445906380927
870,-15230.143567312238,-2538.3572612187086,-2538.3572612187086,-2538.3572612187086,-2538.3572612187086,-2538.3572612187086,-2538.3572612187086
880,-16160.950750404058,-2693.491791734009,-2693.491791734009,-2693.491791734009,-2693.491791734009,-2693.491791734009,-2693.491791734009
890,-16762.768706182957,-2793.7947843638253,-2793.7947843638253,-2793.7947843638253,-2793.7947843638253,-2793.7947843638253,-2793.7947843638253
900,-16700.52880663705,-2783.42146777284,-2783.42146777284,-2783.42146777284,-2783.42146777284,-2783.42146777284,-2783.42146777284
910,-16115.978971267748,-2685.9964952112896,-2685.9964952112896,-2685.9964952112896,-2685.9964952112896,-2685.9964952112896,-2685.9964952112896
920,-15653.803930119804,-2608.9673216866345,-2608.9673216866345,-2608.9673216866345,-2608.9673216866345,-2608.9673216866345,-2608.9673216866345
930,-15257.566555955254,-2542.9277593258757,-2542.9277593258757,-2542.9277593258757,-2542.9277593258757,-2542.9277593258757,-2542.9277593258757
940,-15331.777568739795,-2555.296261456633,-2555.296261456633,-2555.296261456633,-2555.296261456633,-2555.296261456633,-2555.296261456633
950,-15253.358645221271,-2542.226440870213,-2542.226440870213,-2542.226440870213,-2542.226440870213,-2542.226440870213,-2542.226440870213
960,-15695.187963655559,-2615.864660609259,-2615.864660609259,-2615.864660609259,-2615.864660609259,-2615.864660609259,-2615.864660609259
970,-20643.02602663408,-3440.5043377723428,-3440.5043377723428,-3440.5043377723428,-3440.5043377723428,-3440.5043377723428,-3440.5043377723428
980,-17881.608662205195,-2980.2681103675322,-2980.2681103675322,-2980.2681103675322,-2980.2681103675322,-2980.2681103675322,-2980.2681103675322
