episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-15176.630274110712,-2529.4383790184515,-2529.4383790184515,-2529.4383790184515,-2529.4383790184515,-2529.4383790184515,-2529.4383790184515
20,-11001.938752465878,-1833.6564587443117,-1833.6564587443117,-1833.6564587443117,-1833.6564587443117,-1833.6564587443117,-1833.6564587443117
30,-14432.129220963398,-2405.3548701605655,-2405.3548701605655,-2405.3548701605655,-2405.3548701605655,-2405.3548701605655,-2405.3548701605655
40,-14188.744848097898,-2364.790808016318,-2364.790808016318,-2364.790808016318,-2364.790808016318,-2364.790808016318,-2364.790808016318
50,-18245.574436227074,-3040.9290727045127,-3040.9290727045127,-3040.9290727045127,-3040.9290727045127,-3040.9290727045127,-3040.9290727045127
60,-18703.407106696923,-3117.234517782822,-3117.234517782822,-3117.234517782822,-3117.234517782822,-3117.234517782822,-3117.234517782822
70,-21466.034397726395,-3577.6723996210667,-3577.6723996210667,-3577.6723996210667,-3577.6723996210667,-3577.6723996210667,-3577.6723996210667
80,-19626.066227168503,-3271.0110378614163,-3271.0110378614163,-3271.0110378614163,-3271.0110378614163,-3271.0110378614163,-3271.0110378614163
90,-21654.149690515645,-3609.0249484192746,-3609.0249484192746,-3609.0249484192746,-3609.0249484192746,-3609.0249484192746,-3609.0249484192746
100,-24470.75615178715,-4078.4593586311885,-4078.4593586311885,-4078.4593586311885,-4078.4593586311885,-4078.4593586311885,-4078.4593586311885
110,-31177.555939558173,-5196.259323259694,-5196.259323259694,-5196.259323259694,-5196.259323259694,-5196.259323259694,-5196.259323259694
120,-27099.23989993423,-4516.53998332237,-4516.53998332237,-4516.53998332237,-4516.53998332237,-4516.53998332237,-4516.53998332237
130,-13940.838483347095,-2323.4730805578506,-2323.4730805578506,-2323.4730805578506,-2323.4730805578506,-2323.4730805578506,-2323.4730805578506
140,-14764.084913127264,-2460.6808188545447,-2460.6808188545447,-2460.6808188545447,-2460.6808188545447,-2460.6808188545447,-2460.6808188545447
150,-12748.263086556504,-2124.710514426085,-2124.710514426085,-2124.710514426085,-2124.710514426085,-2124.710514426085,-2124.710514426085
160,-8394.56087572308,-1399.09347928718,-1399.09347928718,-1399.09347928718,-1399.09347928718,-1399.09347928718,-1399.09347928718
170,-11978.377563271937,-1996.3962605453223,-1996.3962605453223,-1996.3962605453223,-1996.3962605453223,-1996.3962605453223,-1996.3962605453223
180,-8437.747796354492,-1406.2912993924153,-1406.2912993924153,-1406.2912993924153,-1406.2912993924153,-1406.2912993924153,-1406.2912993924153
190,-6357.089459126019,-1059.5149098543366,-1059.5149098543366,-1059.5149098543366,-1059.5149098543366,-1059.5149098543366,-1059.5149098543366
