episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-37454.00188316172,-6242.333647193617,-6242.333647193617,-6242.333647193617,-6242.333647193617,-6242.333647193617,-6242.333647193617
20,-27050.157593119646,-4508.359598853274,-4508.359598853274,-4508.359598853274,-4508.359598853274,-4508.359598853274,-4508.359598853274
30,-27787.09174894392,-4631.18195815732,-4631.18195815732,-4631.18195815732,-4631.18195815732,-4631.18195815732,-4631.18195815732
40,-25303.44872480888,-4217.241454134812,-4217.241454134812,-4217.241454134812,-4217.241454134812,-4217.241454134812,-4217.241454134812
50,-20330.101572017476,-3388.350262002913,-3388.350262002913,-3388.350262002913,-3388.350262002913,-3388.350262002913,-3388.350262002913
60,-21337.042102169282,-3556.1736836948767,-3556.1736836948767,-3556.1736836948767,-3556.1736836948767,-3556.1736836948767,-3556.1736836948767
