episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-16180.057055569156,-2696.6761759281953,-2696.6761759281953,-2696.6761759281953,-2696.6761759281953,-2696.6761759281953,-2696.6761759281953
20,-9712.389014700926,-1618.7315024501538,-1618.7315024501538,-1618.7315024501538,-1618.7315024501538,-1618.7315024501538,-1618.7315024501538
30,-15512.982154017775,-2585.497025669626,-2585.497025669626,-2585.497025669626,-2585.497025669626,-2585.497025669626,-2585.497025669626
40,-19211.43440674613,-3201.9057344576877,-3201.9057344576877,-3201.9057344576877,-3201.9057344576877,-3201.9057344576877,-3201.9057344576877
50,-16389.033069386373,-2731.5055115643963,-2731.5055115643963,-2731.5055115643963,-2731.5055115643963,-2731.5055115643963,-2731.5055115643963
60,-22397.92778827281,-3732.9879647121334,-3732.9879647121334,-3732.9879647121334,-3732.9879647121334,-3732.9879647121334,-3732.9879647121334
70,-20656.613501605916,-3442.7689169343175,-3442.7689169343175,-3442.7689169343175,-3442.7689169343175,-3442.7689169343175,-3442.7689169343175
80,-15387.128801414536,-2564.521466902423,-2564.521466902423,-2564.521466902423,-2564.521466902423,-2564.521466902423,-2564.521466902423
90,-15259.737300880744,-2543.2895501467906,-2543.2895501467906,-2543.2895501467906,-2543.2895501467906,-2543.2895501467906,-2543.2895501467906
100,-12835.63718278101,-2139.272863796835,-2139.272863796835,-2139.272863796835,-2139.272863796835,-2139.272863796835,-2139.272863796835
110,-13379.242250916044,-2229.873708486008,-2229.873708486008,-2229.873708486008,-2229.873708486008,-2229.873708486008,-2229.873708486008
120,-13274.489198419285,-2212.4148664032155,-2212.4148664032155,-2212.4148664032155,-2212.4148664032155,-2212.4148664032155,-2212.4148664032155
130,-14413.25266877659,-2402.2087781294313,-2402.2087781294313,-2402.2087781294313,-2402.2087781294313,-2402.2087781294313,-2402.2087781294313
140,-14285.301988199077,-2380.883664699847,-2380.883664699847,-2380.883664699847,-2380.883664699847,-2380.883664699847,-2380.883664699847
150,-12788.996000874837,-2131.499333479137,-2131.499333479137,-2131.499333479137,-2131.499333479137,-2131.499333479137,-2131.499333479137
160,-12643.972265904355,-2107.3287109840594,-2107.3287109840594,-2107.3287109840594,-2107.3287109840594,-2107.3287109840594,-2107.3287109840594
170,-15163.170502039424,-2527.19508367324,-2527.19508367324,-2527.19508367324,-2527.19508367324,-2527.19508367324,-2527.19508367324
180,-13791.480134649082,-2298.5800224415116,-2298.5800224415116,-2298.5800224415116,-2298.5800224415116,-2298.5800224415116,-2298.5800224415116
190,-12167.562069249845,-2027.9270115416416,-2027.9270115416416,-2027.9270115416416,-2027.9270115416416,-2027.9270115416416,-2027.9270115416416
200,-13304.120847116083,-2217.353474519349,-2217.353474519349,-2217.353474519349,-2217.353474519349,-2217.353474519349,-2217.353474519349
210,-12422.2227340415,-2070.3704556735815,-2070.3704556735815,-2070.3704556735815,-2070.3704556735815,-2070.3704556735815,-2070.3704556735815
220,-14037.940225564776,-2339.656704260796,-2339.656704260796,-2339.656704260796,-2339.656704260796,-2339.656704260796,-2339.656704260796
230,-13271.065302079547,-2211.844217013258,-2211.844217013258,-2211.844217013258,-2211.844217013258,-2211.844217013258,-2211.844217013258
240,-12804.254930992985,-2134.0424884988306,-2134.0424884988306,-2134.0424884988306,-2134.0424884988306,-2134.0424884988306,-2134.0424884988306
250,-12304.147820437678,-2050.691303406282,-2050.691303406282,-2050.691303406282,-2050.691303406282,-2050.691303406282,-2050.691303406282
260,-13083.358735955373,-2180.559789325895,-2180.559789325895,-2180.559789325895,-2180.559789325895,-2180.559789325895,-2180.559789325895
270,-12636.912830227026,-2106.152138371171,-2106.152138371171,-2106.152138371171,-2106.152138371171,-2106.152138371171,-2106.152138371171
280,-14088.084305242059,-2348.0140508736763,-2348.0140508736763,-2348.0140508736763,-2348.0140508736763,-2348.0140508736763,-2348.0140508736763
290,-13192.890950701152,-2198.815158450193,-2198.815158450193,-2198.815158450193,-2198.815158450193,-2198.815158450193,-2198.815158450193
300,-14658.813266328076,-2443.135544388012,-2443.135544388012,-2443.135544388012,-2443.135544388012,-2443.135544388012,-2443.135544388012
310,-14421.584508906444,-2403.597418151075,-2403.597418151075,-2403.597418151075,-2403.597418151075,-2403.597418151075,-2403.597418151075
320,-13517.42031170734,-2252.9033852845555,-2252.9033852845555,-2252.9033852845555,-2252.9033852845555,-2252.9033852845555,-2252.9033852845555
330,-14469.912108805836,-2411.6520181343044,-2411.6520181343044,-2411.6520181343044,-2411.6520181343044,-2411.6520181343044,-2411.6520181343044
340,-14541.785863893752,-2423.6309773156254,-2423.6309773156254,-2423.6309773156254,-2423.6309773156254,-2423.6309773156254,-2423.6309773156254
350,-15094.621237760022,-2515.770206293338,-2515.770206293338,-2515.770206293338,-2515.770206293338,-2515.770206293338,-2515.770206293338
360,-15097.018874524563,-2516.16981242076,-2516.16981242076,-2516.16981242076,-2516.16981242076,-2516.16981242076,-2516.16981242076
370,-13766.518437543371,-2294.419739590565,-2294.419739590565,-2294.419739590565,-2294.419739590565,-2294.419739590565,-2294.419739590565
380,-15050.207299163758,-2508.3678831939596,-2508.3678831939596,-2508.3678831939596,-2508.3678831939596,-2508.3678831939596,-2508.3678831939596
390,-15002.083650803092,-2500.347275133849,-2500.347275133849,-2500.347275133849,-2500.347275133849,-2500.347275133849,-2500.347275133849
400,-14857.903804847994,-2476.3173008080003,-2476.3173008080003,-2476.3173008080003,-2476.3173008080003,-2476.3173008080003,-2476.3173008080003
410,-15529.607347732783,-2588.267891288797,-2588.267891288797,-2588.267891288797,-2588.267891288797,-2588.267891288797,-2588.267891288797
420,-13808.377757286173,-2301.3962928810297,-2301.3962928810297,-2301.3962928810297,-2301.3962928810297,-2301.3962928810297,-2301.3962928810297
430,-15314.553578783918,-2552.425596463984,-2552.425596463984,-2552.425596463984,-2552.425596463984,-2552.425596463984,-2552.425596463984
440,-13518.302412517573,-2253.0504020862622,-2253.0504020862622,-2253.0504020862622,-2253.0504020862622,-2253.0504020862622,-2253.0504020862622
450,-14813.37923145999,-2468.8965385766633,-2468.8965385766633,-2468.8965385766633,-2468.8965385766633,-2468.8965385766633,-2468.8965385766633
460,-12085.15834563354,-2014.1930576055904,-2014.1930576055904,-2014.1930576055904,-2014.1930576055904,-2014.1930576055904,-2014.1930576055904
470,-13638.061786227492,-2273.0102977045835,-2273.0102977045835,-2273.0102977045835,-2273.0102977045835,-2273.0102977045835,-2273.0102977045835
480,-13586.252529122381,-2264.375421520398,-2264.375421520398,-2264.375421520398,-2264.375421520398,-2264.375421520398,-2264.375421520398
490,-14507.863739243732,-2417.9772898739557,-2417.9772898739557,-2417.9772898739557,-2417.9772898739557,-2417.9772898739557,-2417.9772898739557
500,-13416.515674726023,-2236.0859457876695,-2236.0859457876695,-2236.0859457876695,-2236.0859457876695,-2236.0859457876695,-2236.0859457876695
510,-12015.385509018242,-2002.5642515030409,-2002.5642515030409,-2002.5642515030409,-2002.5642515030409,-2002.5642515030409,-2002.5642515030409
520,-10909.661867440092,-1818.276977906681,-1818.276977906681,-1818.276977906681,-1818.276977906681,-1818.276977906681,-1818.276977906681
530,-12816.032139888188,-2136.005356648032,-2136.005356648032,-2136.005356648032,-2136.005356648032,-2136.005356648032,-2136.005356648032
540,-9704.722891099456,-1617.4538151832423,-1617.4538151832423,-1617.4538151832423,-1617.4538151832423,-1617.4538151832423,-1617.4538151832423
550,-11733.32422816136,-1955.5540380268951,-1955.5540380268951,-1955.5540380268951,-1955.5540380268951,-1955.5540380268951,-1955.5540380268951
560,-9794.022678433315,-1632.3371130722185,-1632.3371130722185,-1632.3371130722185,-1632.3371130722185,-1632.3371130722185,-1632.3371130722185
570,-9752.941915294019,-1625.4903192156696,-1625.4903192156696,-1625.4903192156696,-1625.4903192156696,-1625.4903192156696,-1625.4903192156696
580,-10722.609717095134,-1787.1016195158547,-1787.1016195158547,-1787.1016195158547,-1787.1016195158547,-1787.1016195158547,-1787.1016195158547
590,-10141.840561740553,-1690.3067602900908,-1690.3067602900908,-1690.3067602900908,-1690.3067602900908,-1690.3067602900908,-1690.3067602900908
600,-10139.546889776788,-1689.9244816294654,-1689.9244816294654,-1689.9244816294654,-1689.9244816294654,-1689.9244816294654,-1689.9244816294654
610,-10515.901093677527,-1752.6501822795876,-1752.6501822795876,-1752.6501822795876,-1752.6501822795876,-1752.6501822795876,-1752.6501822795876
620,-9584.999642455481,-1597.4999404092473,-1597.4999404092473,-1597.4999404092473,-1597.4999404092473,-1597.4999404092473,-1597.4999404092473
630,-10196.143319390267,-1699.357219898378,-1699.357219898378,-1699.357219898378,-1699.357219898378,-1699.357219898378,-1699.357219898378
