episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
365,-2526960.1189211044,-421160.0198201841,-421160.0198201841,-421160.0198201841,-421160.0198201841,-421160.0198201841,-421160.0198201841
730,-2533924.607272856,-422320.7678788092,-422320.7678788092,-422320.7678788092,-422320.7678788092,-422320.7678788092,-422320.7678788092
1095,-2530530.745537585,-421755.1242562642,-421755.1242562642,-421755.1242562642,-421755.1242562642,-421755.1242562642,-421755.1242562642
1460,-2545503.0638931305,-424250.5106488551,-424250.5106488551,-424250.5106488551,-424250.5106488551,-424250.5106488551,-424250.5106488551
