episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-45924.702248917325,-7654.117041486223,-7654.117041486223,-7654.117041486223,-7654.117041486223,-7654.117041486223,-7654.117041486223
20,-44594.28721701358,-7432.38120283559,-7432.38120283559,-7432.38120283559,-7432.38120283559,-7432.38120283559,-7432.38120283559
30,-28825.811987648874,-4804.301997941477,-4804.301997941477,-4804.301997941477,-4804.301997941477,-4804.301997941477,-4804.301997941477
40,-33385.91365265692,-5564.318942109484,-5564.318942109484,-5564.318942109484,-5564.318942109484,-5564.318942109484,-5564.318942109484
50,-32788.0896107173,-5464.681601786213,-5464.681601786213,-5464.681601786213,-5464.681601786213,-5464.681601786213,-5464.681601786213
60,-30479.32679047202,-5079.887798412002,-5079.887798412002,-5079.887798412002,-5079.887798412002,-5079.887798412002,-5079.887798412002
70,-28194.172127443133,-4699.028687907192,-4699.028687907192,-4699.028687907192,-4699.028687907192,-4699.028687907192,-4699.028687907192
80,-26560.237911831333,-4426.706318638555,-4426.706318638555,-4426.706318638555,-4426.706318638555,-4426.706318638555,-4426.706318638555
90,-24802.22030247318,-4133.703383745528,-4133.703383745528,-4133.703383745528,-4133.703383745528,-4133.703383745528,-4133.703383745528
100,-26542.07831994643,-4423.679719991072,-4423.679719991072,-4423.679719991072,-4423.679719991072,-4423.679719991072,-4423.679719991072
110,-38113.79839768217,-6352.29973294703,-6352.29973294703,-6352.29973294703,-6352.29973294703,-6352.29973294703,-6352.29973294703
120,-45736.51587304338,-7622.752645507219,-7622.752645507219,-7622.752645507219,-7622.752645507219,-7622.752645507219,-7622.752645507219
130,-54376.388250065516,-9062.731375010926,-9062.731375010926,-9062.731375010926,-9062.731375010926,-9062.731375010926,-9062.731375010926
140,-64135.500520462185,-10689.250086743696,-10689.250086743696,-10689.250086743696,-10689.250086743696,-10689.250086743696,-10689.250086743696
150,-66641.602900563,-11106.933816760486,-11106.933816760486,-11106.933816760486,-11106.933816760486,-11106.933816760486,-11106.933816760486
160,-67129.1674536314,-11188.194575605236,-11188.194575605236,-11188.194575605236,-11188.194575605236,-11188.194575605236,-11188.194575605236
