episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-45333.27308558025,-7555.545514263371,-7555.545514263371,-7555.545514263371,-7555.545514263371,-7555.545514263371,-7555.545514263371
20,-55709.74121168339,-9284.956868613895,-9284.956868613895,-9284.956868613895,-9284.956868613895,-9284.956868613895,-9284.956868613895
30,-61906.32066931536,-10317.720111552557,-10317.720111552557,-10317.720111552557,-10317.720111552557,-10317.720111552557,-10317.720111552557
40,-58093.50307526756,-9682.250512544588,-9682.250512544588,-9682.250512544588,-9682.250512544588,-9682.250512544588,-9682.250512544588
50,-56586.058052173255,-9431.009675362206,-9431.009675362206,-9431.009675362206,-9431.009675362206,-9431.009675362206,-9431.009675362206
60,-58481.38511980942,-9746.897519968237,-9746.897519968237,-9746.897519968237,-9746.897519968237,-9746.897519968237,-9746.897519968237
70,-73730.15120949075,-12288.358534915144,-12288.358534915144,-12288.358534915144,-12288.358534915144,-12288.358534915144,-12288.358534915144
80,-72748.53503040111,-12124.75583840018,-12124.75583840018,-12124.75583840018,-12124.75583840018,-12124.75583840018,-12124.75583840018
90,-60621.172352632115,-10103.52872543869,-10103.52872543869,-10103.52872543869,-10103.52872543869,-10103.52872543869,-10103.52872543869
100,-47222.91714569567,-7870.486190949276,-7870.486190949276,-7870.486190949276,-7870.486190949276,-7870.486190949276,-7870.486190949276
110,-45691.77411867344,-7615.295686445572,-7615.295686445572,-7615.295686445572,-7615.295686445572,-7615.295686445572,-7615.295686445572
120,-43288.29699959025,-7214.716166598373,-7214.716166598373,-7214.716166598373,-7214.716166598373,-7214.716166598373,-7214.716166598373
130,-38768.37892662354,-6461.396487770588,-6461.396487770588,-6461.396487770588,-6461.396487770588,-6461.396487770588,-6461.396487770588
140,-39520.16613877117,-6586.694356461865,-6586.694356461865,-6586.694356461865,-6586.694356461865,-6586.694356461865,-6586.694356461865
150,-67534.80478436183,-11255.800797393642,-11255.800797393642,-11255.800797393642,-11255.800797393642,-11255.800797393642,-11255.800797393642
160,-81300.96853696408,-13550.161422827343,-13550.161422827343,-13550.161422827343,-13550.161422827343,-13550.161422827343,-13550.161422827343
