episode,cum_reward,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5
10,-37959.48742698909,-6326.58123783152,-6326.58123783152,-6326.58123783152,-6326.58123783152,-6326.58123783152,-6326.58123783152
20,-35560.87184064496,-5926.811973440827,-5926.811973440827,-5926.811973440827,-5926.811973440827,-5926.811973440827,-5926.811973440827
30,-33089.47824911257,-5514.913041518759,-5514.913041518759,-5514.913041518759,-5514.913041518759,-5514.913041518759,-5514.913041518759
40,-34487.93886159791,-5747.98981026632,-5747.98981026632,-5747.98981026632,-5747.98981026632,-5747.98981026632,-5747.98981026632
50,-37784.447169395105,-6297.407861565845,-6297.407861565845,-6297.407861565845,-6297.407861565845,-6297.407861565845,-6297.407861565845
60,-39151.31003327985,-6525.218338879972,-6525.218338879972,-6525.218338879972,-6525.218338879972,-6525.218338879972,-6525.218338879972
70,-40139.72503656616,-6689.954172761027,-6689.954172761027,-6689.954172761027,-6689.954172761027,-6689.954172761027,-6689.954172761027
80,-39528.59674800556,-6588.099458000919,-6588.099458000919,-6588.099458000919,-6588.099458000919,-6588.099458000919,-6588.099458000919
90,-40619.38612527071,-6769.897687545119,-6769.897687545119,-6769.897687545119,-6769.897687545119,-6769.897687545119,-6769.897687545119
100,-42253.85594205816,-7042.309323676357,-7042.309323676357,-7042.309323676357,-7042.309323676357,-7042.309323676357,-7042.309323676357
110,-43149.87463195727,-7191.645771992888,-7191.645771992888,-7191.645771992888,-7191.645771992888,-7191.645771992888,-7191.645771992888
120,-43546.6668726731,-7257.777812112188,-7257.777812112188,-7257.777812112188,-7257.777812112188,-7257.777812112188,-7257.777812112188
